name,price,channels,digital_audio,snr,sample_rate,chipset,interface
SIIG IC-510012-S2,0.0,5.1,16.0,68.0,0.0,Unknown,PCI
SIIG IC-710012-S2,0.0,7.1,24.0,92.0,96.0,Unknown,PCI
Syba SD-PEX63034,0.0,7.1,24.0,0.0,48.0,Unknown,PCIe x1
PPA International 1431v,0.0,5.1,16.0,0.0,0.0,Unknown,PCI
Encore ENM232-6VIA,0.0,5.1,24.0,0.0,96.0,VIA VT1723,PCI
HT Omega STRIKER,0.0,7.1,0.0,0.0,0.0,C-Media CMI8770,PCI
Vantec UGT-S100,0.0,7.1,0.0,0.0,48.0,Unknown,PCI
StarTech PCISOUND4CH,0.0,4.0,16.0,0.0,48.0,C-Media CMI8738,PCI
Encore ENM232-8VIA,0.0,7.1,24.0,0.0,96.0,VIA VT1723,PCI
Rosewill RC-702,0.0,7.1,16.0,0.0,96.0,C-Media CMI8768,PCI
M-Audio Audiophile 192,0.0,4.0,24.0,0.0,192.0,Unknown,PCI
SIIG LP-000022-S2,0.0,5.1,24.0,90.0,96.0,VIA VT1723,PCI
