name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency
TEAMGROUP T-Force Delta RGB 32 GB,69.98,43600,216,2.187,Black,10.0,18.0
Corsair Dominator Platinum RGB 32 GB,174.99,56200,216,5.468,White,11.613,36.0
Crucial CT2K8G48C40U5 16 GB,54.99,54800,28,3.437,Black,16.667,40.0
TEAMGROUP T-Create Expert 32 GB,94.99,56400,216,2.968,Black,10.0,32.0
G.Skill Ripjaws S5 32 GB,98.99,56000,216,3.093,Black,12.0,36.0
Crucial Pro Overclocking 32 GB,104.99,56000,216,3.281,Black,12.0,36.0
G.Skill Trident Z5 Neo RGB 64 GB,214.99,56000,232,3.359,Black / Silver,10.0,30.0
Crucial Pro 64 GB,159.19,55600,232,2.487,Black,16.429,46.0
Corsair Vengeance RGB 192 GB,659.99,55200,448,3.437,Black,14.615,38.0
Corsair Vengeance 32 GB,117.99,56400,216,3.687,Black,10.0,32.0
TEAMGROUP T-Force Vulcan 32 GB,91.99,56000,216,2.875,Black,12.667,38.0
ADATA XPG Lancer Blade 32 GB,112.99,56000,216,3.531,Black,10.0,30.0
Lexar THOR OC 32 GB,104.99,56000,216,3.281,Black / Gold,10.667,32.0
Silicon Power XPOWER Zenith Gaming 32 GB,86.99,56000,216,2.718,White,10.0,30.0
Patriot Viper Venom 16 GB,61.99,55200,28,3.874,Black / White,13.846,36.0
Corsair Vengeance 64 GB,217.99,56000,232,3.406,Black / Gray,10.0,30.0
TEAMGROUP Vulcan Z 16 GB,37.99,43600,28,2.374,Black,10.0,18.0
Corsair Vengeance RGB Pro 256 GB,1658.29,43000,832,6.478,Black,10.667,16.0
Corsair Vengeance RGB 32 GB,124.99,56400,216,3.906,Black / Gray,10.0,32.0
Corsair Vengeance 128 GB,429.99,55600,432,3.359,Black,14.286,40.0
Corsair Vengeance RGB Pro 32 GB,89.99,43200,216,2.812,Black,10.0,16.0
Corsair Vengeance LPX 32 GB,0.0,43866,48,0.0,Unknown,9.312,18.0
Corsair Dominator Titanium 32 GB,167.99,56000,216,5.25,White,10.0,30.0
G.Skill Trident Z5 RGB 96 GB,399.99,56800,248,4.167,Black,10.0,34.0
Crucial CT25664AA667 2 GB,11.0,2667,12,5.5,Green,14.993,5.0
Silicon Power XPOWER Turbine 16 GB,32.97,43200,28,2.061,Blue,10.0,16.0
Corsair Vengeance LPX 8 GB,24.99,42400,18,3.124,Black / Yellow,13.333,16.0
Crucial Pro 32 GB,103.87,55600,216,3.246,Black,16.429,46.0
G.Skill Trident Z5 RGB 64 GB,217.99,56400,232,3.406,White / Black,10.0,32.0
Corsair Dominator Titanium 96 GB,429.99,56600,248,4.479,Black,9.697,32.0
TEAMGROUP Elite 16 GB,0.0,55200,28,0.0,Black,16.154,42.0
Kingston FURY Beast 8 GB,23.98,43200,18,2.998,Black,10.0,16.0
Corsair Vengeance LPX 16 GB,44.99,43200,28,2.812,Black,10.0,16.0
G.Skill Trident Z Neo 32 GB,89.99,43600,216,2.812,Black / Silver,8.889,16.0
TEAMGROUP T-Force Delta RGB 32 GB,99.99,56400,216,3.125,Black,12.5,40.0
G.Skill Ripjaws S5 32 GB,109.99,56000,216,3.437,White,10.0,30.0
G.Skill Ripjaws S5 32 GB,105.99,55600,216,3.312,Black,10.0,28.0
TEAMGROUP T-Force Delta RGB 32 GB,104.99,56000,216,3.281,White,12.667,38.0
G.Skill Ripjaws S5 64 GB,197.99,56000,232,3.094,Black,10.0,30.0
Crucial CT16G48C40U5 16 GB,44.0,54800,116,2.75,Black,16.667,40.0
G.Skill Aegis 16 GB,42.68,43200,28,2.667,Red / Black,10.0,16.0
Lexar Ares RGB 32 GB,114.99,56400,216,3.593,Black / Silver,10.0,32.0
Corsair Vengeance 64 GB,247.99,56800,232,3.875,Black / Gray,9.412,32.0
TEAMGROUP T-Create Classic 32 GB,87.99,56000,216,2.75,Black,16.0,48.0
TEAMGROUP T-Force Delta RGB 32 GB,99.99,56400,216,3.125,White,12.5,40.0
G.Skill Trident Z RGB 64 GB,139.99,43600,232,2.187,Black,10.0,18.0
G.Skill Trident Z Neo 256 GB,584.99,43200,832,2.285,Black / Silver,10.0,16.0
Kingston HyperX Fury 16 GB,0.0,43200,28,0.0,Black / Silver,10.0,16.0
Corsair Vengeance RGB Pro 32 GB,92.99,43200,216,2.906,White,10.0,16.0
Corsair Dominator Platinum RGB 32 GB,174.99,56200,216,5.468,Black,11.613,36.0
G.Skill Ripjaws V 64 GB,3772.97,43400,416,58.953,Black,9.412,16.0
Corsair Dominator Titanium 96 GB,429.99,56600,248,4.479,White,9.697,32.0
Corsair Vengeance LPX 16 GB,45.99,43200,28,2.874,White,10.0,16.0
G.Skill Trident Z5 Neo 32 GB,116.99,56000,216,3.656,Black,10.0,30.0
Corsair Vengeance 16 GB,77.98,31600,28,4.874,Black / Yellow,11.25,9.0
G.Skill Trident Z5 RGB 64 GB,259.99,56800,232,4.062,Black,10.0,34.0
Kingston FURY Beast 16 GB,75.99,56000,28,4.749,Black / Silver,12.0,36.0
Kingston FURY 128 GB,457.99,55600,432,3.578,White,14.286,40.0
Corsair Vengeance 96 GB,345.99,56400,248,3.604,Black,10.0,32.0
TEAMGROUP Elite 32 GB,52.99,43200,216,1.656,Black,13.75,22.0
Kingston FURY Beast 16 GB,79.45,55600,28,4.966,Black / Silver,12.857,36.0
Patriot Viper Venom 32 GB,103.99,56400,216,3.25,Black / White,10.0,32.0
Corsair Vengeance RGB 32 GB,112.99,56400,216,3.531,Black,11.25,36.0
Corsair Vengeance 32 GB,97.99,54800,216,3.062,Black,16.667,40.0
Corsair Vengeance RGB 32 GB,109.99,55200,216,3.437,Black,15.385,40.0
Silicon Power XPOWER Turbine 32 GB,51.49,43200,216,1.609,Blue,10.0,16.0
