name,price,interface,color
Intel PWLA8492MT,92.0,PCI-X,Unknown
Plugable USB3-E1000,16.95,USB Type-A 3.2 Gen 1,Unknown
StarTech USB31000S,26.34,USB Type-A 3.2 Gen 1,Unknown
Asus NX1101,0.0,PCI,Unknown
Rosewill RC-401-EX,0.0,PCIe x1,Unknown
D-Link DFE530TX+,19.98,PCI,Unknown
D-Link DGE-530T,27.99,PCI,Unknown
D-Link DUB-E100,0.0,USB Type-A 2.0,Unknown
Syba SD-ADA24032,0.0,USB Type-A 3.2 Gen 1,Unknown
TP-Link TF-3239DL,0.0,PCI,Unknown
Tripp Lite U436-000-GB,20.63,USB Type-C 3.2 Gen 1,Black
Belkin B2B145-BLK,29.77,USB Type-C 3.2 Gen 1,Black
Supermicro AOC-SG-i2,0.0,PCIe x4,Unknown
Intel PWLA8391GT,34.2,PCI,Unknown
Rosewill RC-400-LX,23.99,PCI,Unknown
SIIG CN-GP2011-S1,0.0,PCIe x1,Unknown
Plugable USBC-E1000,18.95,USB Type-C 3.2 Gen 1,Unknown
Rosewill RC-400,0.0,PCI,Unknown
Rosewill RC-404,0.0,PCI,Unknown
Rosewill RNF-405U,0.0,USB Type-A 2.0,Unknown
Rosewill RNG-406U,0.0,USB Type-A 3.2 Gen 1,Unknown
StarTech ST100S,0.0,PCI,Unknown
Syba SY-ADA24024,0.0,USB Type-A 2.0,Unknown
TRENDnet TE100-PCIWN,0.0,PCI,Unknown
Intel EXPI9402PTBLK-1PK,0.0,PCIe x4,Unknown
Intel PWLA8391GTBLK-1PK,0.0,PCI,Unknown
Intel PWLA8490MTBLK,0.0,PCI-X,Unknown
Intel PWLA8492MTBLK5,0.0,PCI-X,Unknown
SIIG CN-GP1011-S3,0.0,PCI,Unknown
StarTech ST1000SPEXD2,0.0,PCIe x1,Unknown
Syba SY-ADA24005,0.0,USB Type-A 2.0,Unknown
Syba SY-ADA24027,0.0,USB Type-A 2.0,Unknown
TRENDnet TEG-PCITXR,30.79,PCI,Unknown
StarTech ST1000SPEX,0.0,PCIe x1,Unknown
Rosewill RC-402,0.0,PCI,Unknown
Netgear GA311,50.0,PCI,Unknown
Rosewill RC-411,0.0,PCIe x1,Unknown
SIIG CN-GP4011-S1,0.0,PCIe x4,Unknown
StarTech USB31000SW,18.75,USB Type-A 3.2 Gen 1,Unknown
SIIG JU-NE0511-S1,0.0,USB Type-A 3.2 Gen 1,Unknown
StarTech USB31000SPTB,29.98,USB Type-A 3.2 Gen 1,Unknown
