name,price,type,interface,capacity,price_per_gb,color
Sabrent Rocket Pro,69.98,Portable,USB Type-C 3.2 Gen 2,512,0.137,Silver
Western Digital easystore,159.99,Desktop,"USB Type-A 2.0, USB Type-A 3.2 Gen 1",8000,0.02,Black
Western Digital ELEMENTS,0.0,Portable,USB Type-A 3.2 Gen 1,2000,0.0,Unknown
Silicon Power PC60,0.0,Portable,USB Type-C 3.2 Gen 2,256,0.0,Black
Crucial X8,141.86,Portable,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 2",2000,0.071,Black
Seagate One Touch,124.99,Portable,USB Type-A 3.2 Gen 1,4000,0.031,Black
Western Digital My Book,269.99,Desktop,USB Type-A 3.2 Gen 2,14000,0.019,Black
Samsung T7 Shield,109.99,Portable,USB Type-C 3.2 Gen 2,1000,0.11,Black
Samsung T7 Portable,0.0,Portable,USB Type-C 3.2 Gen 1,500,0.0,Red / Silver
Western Digital My Book,119.99,Desktop,USB Type-A 3.2 Gen 1,4000,0.03,Black
Western Digital My Book Duo,829.99,Desktop,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",24000,0.035,Black
Seagate Backup Plus Hub,260.23,Desktop,USB Type-A 3.2 Gen 2,8000,0.033,Unknown
Western Digital My Book,154.99,Desktop,USB Type-A 3.2 Gen 1,6000,0.026,Black
Western Digital ELEMENTS,259.99,Desktop,USB Type-A 3.2 Gen 1,12000,0.022,Unknown
Kingston XS2000,357.99,Portable,USB Type-C 3.2 Gen 2x2,4000,0.089,Silver
Western Digital WD_BLACK P50,175.5,Portable,USB Type-C 3.2 Gen 1,1000,0.176,Black / Silver
Seagate Backup Plus,0.0,Portable,USB Type-A 3.2 Gen 1,2000,0.0,Unknown
Apricorn Aegis Fortress,1129.56,Portable,USB Type-A 3.2 Gen 1,4000,0.282,Black
Western Digital ‎WDBU6Y0050BBK-WESN,129.99,Portable,USB Type-A 3.2 Gen 1,5000,0.026,Black
Samsung T7 Shield,189.99,Portable,USB Type-C 3.2 Gen 2,2000,0.095,Black
Corsair EX100U,79.98,Portable,USB Type-C 3.2 Gen 2x2,1000,0.08,Black
Kingston XS1000,73.95,Portable,USB Type-C 3.2 Gen 2,1000,0.074,Black
Western Digital Elements Portable,119.11,Portable,USB Type-A 3.2 Gen 1,4000,0.03,Black
Western Digital ELEMENTS,0.0,Portable,USB Type-A 3.2 Gen 1,1000,0.0,Unknown
Sabrent Rocket Nano V2,449.99,Portable,USB Type-C 3.2 Gen 2x2,4000,0.112,Black
Seagate Expansion,209.99,Desktop,USB Type-A 3.2 Gen 1,3000,0.07,Unknown
Seagate Backup Plus,108.77,Portable,USB Type-A 3.2 Gen 1,1000,0.109,Unknown
Apricorn Padlock SSD,1139.99,Portable,USB Type-A 3.2 Gen 1,4000,0.285,Black
Western Digital My Passport Air,200.0,Portable,USB Type-A 3.2 Gen 1,500,0.4,Unknown
Samsung T5,449.99,Portable,USB Type-C 3.2 Gen 1,2000,0.225,Black
Seagate Expansion,0.0,Portable,USB Type-A 3.2 Gen 1,5000,0.0,Black
Crucial X9 Pro,161.99,Portable,USB Type-C 3.2 Gen 2,2000,0.081,Silver
Western Digital easystore,279.99,Desktop,USB Type-A 3.2 Gen 1,12000,0.023,Unknown
Toshiba Canvio Basics 3.0,101.0,Portable,Unknown,2000,0.05,Unknown
Samsung T5,199.0,Portable,USB Type-C 3.2 Gen 1,500,0.398,Unknown
SanDisk G-DRIVE ArmorLock,745.99,Portable,USB Type-C 3.2 Gen 1,4000,0.186,Black / Yellow
Samsung T7 Portable,89.0,Portable,USB Type-C 3.2 Gen 1,1000,0.089,Blue / Silver
Crucial X9 Pro,259.99,Portable,USB Type-C 3.2 Gen 2,4000,0.065,Silver
ADATA DashDrive Durable HD650,60.25,Portable,USB Type-A 3.2 Gen 1,1000,0.06,Unknown
Crucial X10 Pro,99.99,Portable,USB Type-C 3.2 Gen 2x2,1000,0.1,Black
Seagate Backup Plus,249.95,Desktop,USB Type-A 3.2 Gen 1,5000,0.05,Unknown
Seagate One Touch,279.99,Desktop,USB Type-A 3.2 Gen 1,10000,0.028,Black
Seagate Expansion,0.0,Desktop,USB Type-A 3.2 Gen 1,4000,0.0,Unknown
Western Digital My Passport Ultra Portable,149.99,Portable,USB Type-A 3.2 Gen 1,2000,0.075,Unknown
Seagate Backup Plus Hub,699.99,Desktop,USB Type-A 3.2 Gen 1,14000,0.05,Black
Asus FX HDD,0.0,Portable,USB Type-A 3.2 Gen 2,1000,0.0,Black
Seagate Game Drive Xbox GamePass Edition,229.0,Portable,USB Type-A 3.2 Gen 1,4000,0.057,White
Samsung T5 EVO Portable,314.45,Portable,USB Type-C 3.2 Gen 1,4000,0.079,Black
Crucial X6,219.99,Portable,USB Type-C 3.2 Gen 2,4000,0.055,Black
