name,price,type,interface,capacity,price_per_gb,color
Sabrent Rocket Nano,109.99,Portable,USB Type-C 3.2 Gen 2,512,0.215,Pink
Sabrent Rocket Nano,0.0,Portable,USB Type-C 3.2 Gen 2,1000,0.0,Black
Sabrent Rocket Nano,101.5,Portable,USB Type-C 3.2 Gen 2,1000,0.102,Pink
Sabrent Rocket Nano,229.99,Portable,USB Type-C 3.2 Gen 2,2000,0.115,Silver
Sabrent Rocket Nano,178.3,Portable,USB Type-C 3.2 Gen 2,2000,0.089,Pink
Sabrent Rocket XTRM-Q,870.74,Portable,USB Type-C 3.2 Gen 2,4000,0.218,Black
Lexar SL100 Pro,0.0,Portable,USB Type-C 3.2 Gen 1,1000,0.0,Black
TEAMGROUP T-Create CinemaPr P31,0.0,Portable,USB Type-C 3.2 Gen 2x2,4000,0.0,Gray
Samsung T5 EVO Portable,159.99,Portable,USB Type-C 3.2 Gen 1,2000,0.08,Black
SanDisk Professional PRO-Blade Transport,159.99,Portable,USB Type-C 3.2 Gen 2x2,1000,0.16,Black
Western Digital My Passport,79.99,Portable,USB Type-A 3.2 Gen 1,2000,0.04,Red
Western Digital My Passport,124.0,Portable,USB Type-A 3.2 Gen 1,5000,0.025,Red
Western Digital easystore,228.88,Desktop,USB Type-A 3.2 Gen 1,8000,0.029,Unknown
Silicon Power PC60,0.0,Portable,USB Type-C 3.2 Gen 2,2000,0.0,Black
Apricorn Aegis Padlock DT,182.43,Desktop,USB Type-A 3.2 Gen 1,2000,0.091,Black
Seagate Backup Plus Ultra Touch,0.0,Portable,USB Type-A 3.2 Gen 1,2000,0.0,Black
Lexar SL100 Pro,129.99,Portable,USB Type-C 3.2 Gen 1,500,0.26,Black
Western Digital My Book,229.99,Desktop,USB Type-A 3.2 Gen 1,6000,0.038,Unknown
Western Digital SanDisk Desk Drive,379.99,Desktop,USB Type-C 3.2 Gen 2,4000,0.095,Black
Western Digital My Passport,124.99,Portable,USB Type-A 3.2 Gen 1,4000,0.031,Blue
Samsung T7 Shield,109.99,Portable,USB Type-C 3.2 Gen 2,1000,0.11,Blue
Samsung T7 Shield,189.99,Portable,USB Type-C 3.2 Gen 2,2000,0.095,Beige
Seagate One Touch,0.0,Portable,USB Type-A 3.2 Gen 1,2000,0.0,Unknown
Seagate One Touch,149.0,Portable,USB Type-A 3.2 Gen 1,4000,0.037,Silver
Seagate One Touch,149.99,Portable,USB Type-A 3.2 Gen 1,4000,0.037,Blue
KIOXIA EXCERIA PLUS,0.0,Portable,USB Type-C 3.2 Gen 2,1000,0.0,Gray
KIOXIA EXCERIA PLUS,81.15,Portable,USB Type-C 3.2 Gen 2,500,0.162,Gray
LaCie Rugged Mini,99.99,Portable,USB Type-A 3.2 Gen 1,2000,0.05,Orange / Silver
Silicon Power PC60,0.0,Portable,USB Type-C 3.2 Gen 2,480,0.0,Black
Silicon Power Bolt B75,59.52,Portable,USB Type-C 3.2 Gen 1,480,0.124,Silver
VisionTek 901195,102.25,Portable,USB Type-C,512,0.2,Black
Apricorn Aegis Fortress L3,1198.92,Portable,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",4000,0.3,Black
Apricorn Aegis Padlock 3.0,177.99,Portable,USB Type-A 3.2 Gen 1,256,0.695,Black
Sabrent Rocket Nano,0.0,Portable,USB Type-C 3.2 Gen 2,1000,0.0,Silver
Sabrent Rocket Nano,131.37,Portable,USB Type-C 3.2 Gen 2,1000,0.131,Gold
Sabrent Rocket Nano Rugged,149.99,Portable,USB Type-C 3.2 Gen 2,2000,0.075,Silver
Buffalo Technology DriveStation Axis,0.0,Desktop,USB Type-A 3.2 Gen 1,1000,0.0,Unknown
Buffalo Technology DriveStation,0.0,Desktop,USB Type-A 3.2 Gen 1,2000,0.0,Unknown
Buffalo Technology DriveStation,0.0,Desktop,"IEEE 1394A 6-Pin, IEEE 1394B 9-Pin, eSATA 3.0 Gb/s, USB Type-A 2.0",1000,0.0,Unknown
Buffalo Technology DriveStation,0.0,Desktop,USB Type-A 3.2 Gen 1,3000,0.0,Unknown
Buffalo Technology DriveStation,0.0,Desktop,USB Type-A 3.2 Gen 1,4000,0.0,Unknown
Buffalo Technology DriveStation Axis Velocity,0.0,Desktop,USB Type-A 3.2 Gen 1,1000,0.0,Unknown
Buffalo Technology DriveStation Duo,0.0,Desktop,USB Type-A 3.2 Gen 1,2000,0.0,Unknown
Buffalo Technology DriveStation Duo,0.0,Desktop,USB Type-A 3.2 Gen 1,4000,0.0,Unknown
Buffalo Technology DriveStation Duo,0.0,Desktop,USB Type-A 3.2 Gen 1,6000,0.0,Unknown
Buffalo Technology DriveStation Duo,0.0,Desktop,USB Type-A 3.2 Gen 1,8000,0.0,Unknown
Buffalo Technology DriveStation,0.0,Desktop,Thunderbolt,1000,0.0,Unknown
Buffalo Technology DriveStation,0.0,Desktop,Thunderbolt,256,0.0,Unknown
Buffalo Technology DriveStation,0.0,Desktop,Thunderbolt,512,0.0,Unknown
LaCie d2 Quadra,0.0,Desktop,"IEEE 1394B 9-Pin, eSATA 3.0 Gb/s, USB Type-A 3.2 Gen 1",3000,0.0,Unknown
LaCie Minimus,0.0,Desktop,USB Type-A 3.2 Gen 1,2000,0.0,Unknown
LaCie Blade Runner,0.0,Desktop,USB Type-A 3.2 Gen 1,4000,0.0,Unknown
Western Digital My Book Studio,0.0,Desktop,"IEEE 1394B 9-Pin, USB Type-A 2.0",2000,0.0,Unknown
Western Digital My Book Studio,0.0,Desktop,"IEEE 1394B 9-Pin, USB Type-A 2.0",3000,0.0,Unknown
Western Digital My Book,0.0,Desktop,USB Type-A 3.2 Gen 1,3000,0.0,Unknown
Western Digital My Book,179.99,Desktop,USB Type-A 3.2 Gen 1,4000,0.045,Unknown
Western Digital My Book Studio,0.0,Desktop,USB Type-A 3.2 Gen 1,4000,0.0,Unknown
Western Digital My Book Thunderbolt Duo,0.0,Desktop,Thunderbolt,4000,0.0,Unknown
Western Digital ELEMENTS,0.0,Desktop,USB Type-A 3.2 Gen 1,2000,0.0,Unknown
Western Digital My Book for Mac,0.0,Desktop,USB Type-A 3.2 Gen 1,2000,0.0,Unknown
Western Digital My Book for Mac,0.0,Desktop,USB Type-A 3.2 Gen 1,3000,0.0,Unknown
LaCie d2,0.0,Desktop,"Thunderbolt, USB Type-A 3.2 Gen 1",4000,0.0,Unknown
LaCie 2big Quadra,0.0,Desktop,"IEEE 1394B 9-Pin, USB Type-A 3.2 Gen 1",4000,0.0,Unknown
LaCie 4big Quadra,0.0,Desktop,"IEEE 1394B 9-Pin, USB Type-A 3.2 Gen 1",16000,0.0,Unknown
LaCie Little Big Disk,0.0,Desktop,Thunderbolt,1000,0.0,Unknown
LaCie d2,0.0,Desktop,"Thunderbolt, USB Type-A 3.2 Gen 1",3000,0.0,Unknown
LaCie 2big Quadra,0.0,Desktop,"IEEE 1394B 9-Pin, USB Type-A 3.2 Gen 1",6000,0.0,Unknown
LaCie Porsche Design,0.0,Desktop,USB Type-A 3.2 Gen 1,4000,0.0,Unknown
LaCie 5big,0.0,Desktop,Thunderbolt,25000,0.0,Unknown
LaCie d2,0.0,Desktop,"Thunderbolt, USB Type-A 3.2 Gen 1",6000,0.0,Unknown
LaCie Minimus,0.0,Desktop,USB Type-A 3.2 Gen 1,3000,0.0,Unknown
LaCie 4big Quadra,0.0,Desktop,"IEEE 1394B 9-Pin, USB Type-A 3.2 Gen 1",8000,0.0,Unknown
LaCie 2big,0.0,Desktop,Thunderbolt,10000,0.0,Unknown
LaCie d2,0.0,Desktop,"Thunderbolt, USB Type-A 3.2 Gen 1",3000,0.0,Unknown
LaCie d2,0.0,Desktop,"Thunderbolt, USB Type-A 3.2 Gen 1",4000,0.0,Unknown
Samsung D3 Station,0.0,Desktop,USB Type-A 3.2 Gen 1,3000,0.0,Unknown
Samsung D3 Station,0.0,Desktop,Unknown,4000,0.0,Unknown
Samsung D3 Station,0.0,Desktop,USB Type-A 3.2 Gen 1,2000,0.0,Unknown
Samsung D3 Station,0.0,Desktop,USB Type-A 3.2 Gen 1,3000,0.0,Unknown
Samsung D3 Station,0.0,Desktop,USB Type-A 3.2 Gen 1,4000,0.0,Unknown
Samsung D3 Station,0.0,Desktop,USB Type-A 3.2 Gen 1,5000,0.0,Unknown
Samsung D3 Station,0.0,Desktop,USB Type-A 3.2 Gen 1,6000,0.0,Unknown
Seagate Expansion,0.0,Desktop,USB Type-A 3.2 Gen 1,5000,0.0,Unknown
Seagate Backup Plus,160.0,Desktop,USB Type-A 3.2 Gen 1,3000,0.053,Unknown
Seagate Backup Plus,249.95,Desktop,USB Type-A 3.2 Gen 1,6000,0.042,Unknown
Seagate Backup Plus,0.0,Desktop,USB Type-A 3.2 Gen 1,3000,0.0,Unknown
Hitachi HGST Touro Desk,0.0,Desktop,USB Type-A 3.2 Gen 1,4000,0.0,Unknown
Hitachi HGST Touro Desk Pro,0.0,Desktop,USB Type-A 3.2 Gen 1,4000,0.0,Unknown
Apricorn Aegis Padlock DT,0.0,Desktop,USB Type-A 3.2 Gen 1,2000,0.0,Unknown
Apricorn Aegis Padlock DT,0.0,Desktop,USB Type-A 3.2 Gen 1,1000,0.0,Unknown
Axiom USB3HD35S1TB-AX,0.0,Desktop,USB Type-A 3.2 Gen 1,1000,0.0,Unknown
Axiom USB3HD35S250-AX,0.0,Desktop,Unknown,250,0.0,Unknown
Axiom USB3HD35S2TB-AX,0.0,Desktop,USB Type-A 3.2 Gen 1,2000,0.0,Unknown
Axiom USB3HD35S3TB-AX,0.0,Desktop,USB Type-A 3.2 Gen 1,3000,0.0,Unknown
Axiom USB3HD35S500-AX,0.0,Desktop,Unknown,500,0.0,Unknown
Buslink CRF-2T-U2,0.0,Desktop,USB Type-A 2.0,2000,0.0,Unknown
Buslink CSC-1T-U2,0.0,Desktop,USB Type-A 2.0,1000,0.0,Unknown
Buslink CSC-2T-U3,0.0,Desktop,USB Type-A 3.2 Gen 1,2000,0.0,Unknown
Apricorn Aegis Padlock DT,0.0,Desktop,USB Type-A 3.2 Gen 1,1000,0.0,Unknown
Imation Apollo Pro UX,0.0,Desktop,USB Type-A 2.0,1000,0.0,Unknown
Transcend StoreJet 35T3,0.0,Desktop,USB Type-A 3.2 Gen 1,3000,0.0,Unknown
Transcend StoreJet 35T3,0.0,Desktop,USB Type-A 3.2 Gen 1,2000,0.0,Unknown
Toshiba Canvio Desk,0.0,Desktop,USB Type-A 3.2 Gen 1,2000,0.0,Unknown
LaCie Porsche Design,0.0,Desktop,USB Type-A 3.2 Gen 1,8000,0.0,Unknown
Seagate Expansion,0.0,Desktop,USB Type-A 3.2 Gen 1,5000,0.0,Unknown
Buslink CipherShield,0.0,Desktop,USB Type-A 3.2 Gen 1,6000,0.0,Unknown
Edge Tech EDGDG-236236-PE,0.0,Desktop,USB Type-A 3.2 Gen 1,4000,0.0,Unknown
G-Technology G-DRIVE,0.0,Desktop,"IEEE 1394B 9-Pin, eSATA 6.0 Gb/s, USB Type-A 3.2 Gen 1",3000,0.0,Unknown
Western Digital My Book,0.0,Desktop,USB Type-A 3.2 Gen 1,3000,0.0,Black
Western Digital My Book Duo,998.0,Desktop,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",8000,0.125,Black
Verbatim 99399,0.0,Desktop,USB Type-A 3.2 Gen 1,4000,0.0,Black
Western Digital My Book,0.0,Desktop,USB Type-A 3.2 Gen 1,10000,0.0,Black
LaCie Porsche Design,0.0,Desktop,USB Type-A 3.2 Gen 1,1000,0.0,Silver
LaCie Porsche Design,0.0,Desktop,USB Type-A 3.2 Gen 1,2000,0.0,Silver
Western Digital easystore,0.0,Desktop,"USB Type-A 2.0, USB Type-A 3.2 Gen 1",12000,0.0,Black
Seagate Backup Plus,299.59,Desktop,USB Type-A 3.2 Gen 1,4000,0.075,Black
Koss Kanguru Ultra,0.0,Desktop,USB Type-C,2000,0.0,Black
Apricorn Padlock DT FIPS,204.94,Desktop,USB Type-A 3.2 Gen 1,2000,0.102,Black
Apricorn Padlock DT FIPS,327.99,Desktop,USB Type-A 3.2 Gen 1,4000,0.082,Black
Apricorn Padlock DT FIPS,473.42,Desktop,USB Type-A 3.2 Gen 1,6000,0.079,Black
Apricorn Padlock DT FIPS,629.0,Desktop,USB Type-A 3.2 Gen 1,8000,0.079,Black
Apricorn Aegis Padlock DT,314.36,Desktop,USB Type-A 3.2 Gen 1,4000,0.079,Black
Apricorn Aegis Padlock DT,437.99,Desktop,USB Type-A 3.2 Gen 1,6000,0.073,Black
Apricorn Aegis Padlock DT,906.85,Desktop,USB Type-A 3.2 Gen 1,16000,0.057,Black
Apricorn Aegis Padlock DT,1179.0,Desktop,USB Type-A 3.2 Gen 1,20000,0.059,Black
Western Digital SanDisk Desk Drive,0.0,Desktop,USB Type-C 3.2 Gen 2,8000,0.0,Black
ADATA DashDrive,0.0,Portable,USB Type-A 3.2 Gen 1,1000,0.0,Unknown
Buffalo Technology MiniStation,0.0,Portable,USB Type-A 3.2 Gen 1,1000,0.0,Unknown
Buffalo Technology MiniStation,0.0,Portable,USB Type-A 3.2 Gen 1,2000,0.0,Unknown
Buffalo Technology MiniStation,0.0,Portable,USB Type-A 3.2 Gen 1,500,0.0,Unknown
Buffalo Technology MiniStation Extreme,0.0,Portable,USB Type-A 3.2 Gen 1,1000,0.0,Unknown
Buffalo Technology MiniStation Extreme,0.0,Portable,USB Type-A 3.2 Gen 1,1000,0.0,Unknown
Buffalo Technology MiniStation Extreme,0.0,Portable,USB Type-A 3.2 Gen 1,1000,0.0,Unknown
Buffalo Technology MiniStation Extreme,0.0,Portable,USB Type-A 3.2 Gen 1,500,0.0,Unknown
Buffalo Technology MiniStation Extreme,0.0,Portable,USB Type-A 3.2 Gen 1,500,0.0,Unknown
Buffalo Technology MiniStation Extreme,0.0,Portable,USB Type-A 3.2 Gen 1,500,0.0,Unknown
LaCie Rugged Mini,0.0,Portable,USB Type-A 3.2 Gen 1,500,0.0,Unknown
LaCie Rugged Mini,0.0,Portable,USB Type-A 3.2 Gen 1,500,0.0,Unknown
LaCie Rugged Mini,79.99,Portable,USB Type-A 3.2 Gen 1,1000,0.08,Unknown
LaCie Rikiki,0.0,Portable,USB Type-A 3.2 Gen 1,500,0.0,Unknown
LaCie Rugged,0.0,Portable,"IEEE 1394B 9-Pin, USB Type-A 3.2 Gen 1",500,0.0,Unknown
LaCie Rugged,0.0,Portable,"IEEE 1394B 9-Pin, USB Type-A 3.2 Gen 1",500,0.0,Unknown
LaCie Rugged,0.0,Portable,"IEEE 1394B 9-Pin, USB Type-A 3.2 Gen 1",1000,0.0,Unknown
LaCie Porsche Design,0.0,Portable,USB Type-A 3.2 Gen 1,500,0.0,Unknown
Western Digital My Passport Slim,0.0,Portable,USB Type-A 3.2 Gen 1,1000,0.0,Unknown
Western Digital My Passport Studio,0.0,Portable,"IEEE 1394B 9-Pin, USB Type-A 2.0",2000,0.0,Unknown
Western Digital My Passport Air,0.0,Portable,USB Type-A 3.2 Gen 1,1000,0.0,Unknown
LaCie Rugged Mini,0.0,Portable,USB Type-A 3.2 Gen 1,1500,0.0,Unknown
LaCie Rugged,0.0,Portable,"Thunderbolt, USB Type-A 3.2 Gen 1",120,0.0,Unknown
LaCie Rugged,0.0,Portable,"Thunderbolt, USB Type-A 3.2 Gen 1",1000,0.0,Unknown
LaCie Rugged,0.0,Portable,"Thunderbolt, USB Type-A 3.2 Gen 1",2000,0.0,Unknown
LaCie Little Big Disk,0.0,Portable,Thunderbolt,512,0.0,Unknown
LaCie Porsche Design,0.0,Portable,USB Type-A 3.2 Gen 1,120,0.0,Unknown
LaCie Porsche Design,0.0,Portable,Unknown,250,0.0,Unknown
Verbatim Store 'n' Go,0.0,Portable,USB Type-A 3.2 Gen 1,128,0.0,Unknown
Verbatim Store 'n' Go,0.0,Portable,USB Type-A 3.2 Gen 1,256,0.0,Unknown
Verbatim Titan XS,122.99,Portable,Unknown,1000,0.123,Unknown
Verbatim Freecom,0.0,Portable,USB Type-A 3.2 Gen 1,1000,0.0,Unknown
Verbatim 97805,0.0,Portable,USB Type-A 3.2 Gen 1,500,0.0,Unknown
Verbatim 97806,0.0,Portable,USB Type-A 3.2 Gen 1,1000,0.0,Unknown
Samsung P3,0.0,Portable,USB Type-A 3.2 Gen 1,500,0.0,Unknown
Samsung P3,0.0,Portable,USB Type-A 3.2 Gen 1,1000,0.0,Unknown
Samsung P3 Portable,0.0,Portable,USB Type-A 3.2 Gen 1,2000,0.0,Unknown
Samsung MU-PS250B/AM,0.0,Portable,USB Type-A 3.2 Gen 1,250,0.0,Unknown
Samsung MU-PS500B/AM,0.0,Portable,USB Type-A 3.2 Gen 1,500,0.0,Unknown
Seagate GoFlex for Mac,0.0,Portable,Thunderbolt,1000,0.0,Unknown
Seagate Backup Plus,0.0,Portable,USB Type-A 3.2 Gen 1,1000,0.0,Unknown
Seagate Backup Plus Slim,0.0,Portable,USB Type-A 3.2 Gen 1,2000,0.0,Unknown
Seagate Backup Plus Slim,0.0,Portable,USB Type-A 3.2 Gen 1,2000,0.0,Unknown
Hitachi GST Touro Mobile Pro,0.0,Portable,USB Type-A 3.2 Gen 1,500,0.0,Unknown
Hitachi HGST Touro Mobile,0.0,Portable,USB Type-A 3.2 Gen 1,500,0.0,Unknown
Hitachi HGST Touro Mobile Pro,0.0,Portable,USB Type-A 3.2 Gen 1,1000,0.0,Unknown
HP HPHDD2E30500AS1-RBU,0.0,Portable,USB Type-A 3.2 Gen 1,500,0.0,Unknown
Toshiba Canvio Basics 3.0,0.0,Portable,USB Type-A 3.2 Gen 1,2000,0.0,Unknown
ADATA CH11,0.0,Portable,USB Type-A 3.2 Gen 1,500,0.0,Unknown
ADATA AHV620-500GU3-CBK,0.0,Portable,USB Type-A 3.2 Gen 1,500,0.0,Unknown
ADATA DashDrive SE720,0.0,Portable,USB Type-A 3.2 Gen 1,128,0.0,Unknown
ADATA SH14,0.0,Portable,USB Type-A 3.2 Gen 1,1000,0.0,Unknown
Apricorn Aegis Bio,0.0,Portable,USB Type-A 3.2 Gen 1,1000,0.0,Unknown
Apricorn Aegis Bio 3.0,0.0,Portable,USB Type-A 3.2 Gen 1,512,0.0,Unknown
Apricorn Aegis Padlock,0.0,Portable,USB Type-A 3.2 Gen 1,1000,0.0,Unknown
Apricorn Aegis Padlock,0.0,Portable,USB Type-A 3.2 Gen 1,500,0.0,Unknown
Apricorn Aegis Padlock Fortress,222.84,Portable,USB Type-A 3.2 Gen 1,1000,0.223,Unknown
Apricorn Aegis Padlock Fortress,0.0,Portable,USB Type-A 3.2 Gen 1,500,0.0,Unknown
Apricorn Aegis Padlock 3.0,153.88,Portable,USB Type-A 3.2 Gen 1,500,0.308,Black
Apricorn Aegis Padlock Fortress,168.45,Portable,USB Type-A 3.2 Gen 1,500,0.337,Unknown
Apricorn Aegis Padlock,461.0,Portable,USB Type-A 3.2 Gen 1,128,3.602,Unknown
Apricorn Aegis Portable 3.0,0.0,Portable,USB Type-A 3.2 Gen 1,1000,0.0,Unknown
Apricorn Aegis Portable 3.0,0.0,Portable,USB Type-A 3.2 Gen 1,500,0.0,Unknown
Apricorn Aegis Padlock,0.0,Portable,USB Type-A 2.0,1000,0.0,Unknown
Apricorn Aegis Padlock,0.0,Portable,USB Type-A 2.0,1000,0.0,Unknown
Apricorn Aegis Padlock,0.0,Portable,USB Type-A 2.0,320,0.0,Unknown
Apricorn Aegis Padlock,0.0,Portable,Unknown,500,0.0,Unknown
Apricorn Aegis Padlock,0.0,Portable,"eSATA 3.0 Gb/s, USB Type-A 2.0",1000,0.0,Unknown
Axiom Mobile-D,0.0,Portable,USB Type-A 3.2 Gen 1,1000,0.0,Unknown
Axiom Mobile-D,0.0,Portable,USB Type-A 3.2 Gen 1,250,0.0,Unknown
Axiom Mobile-D,0.0,Portable,USB Type-A 3.2 Gen 1,320,0.0,Unknown
Axiom Mobile-D,0.0,Portable,USB Type-A 3.2 Gen 1,500,0.0,Unknown
Axiom Mobile-D,0.0,Portable,USB Type-A 3.2 Gen 1,750,0.0,Unknown
Axiom Mobile-D,0.0,Portable,USB Type-A 3.2 Gen 1,250,0.0,Unknown
Axiom Mobile-D,0.0,Portable,USB Type-A 3.2 Gen 1,320,0.0,Unknown
Axiom Mobile-D,0.0,Portable,USB Type-A 3.2 Gen 1,500,0.0,Unknown
Transcend StoreJet,0.0,Portable,USB Type-A 2.0,750,0.0,Unknown
Transcend StoreJet,0.0,Portable,USB Type-A 3.2 Gen 1,500,0.0,Unknown
Transcend StoreJet,0.0,Portable,USB Type-A 2.0,500,0.0,Unknown
Transcend StoreJet,0.0,Portable,USB Type-A 2.0,500,0.0,Unknown
Imation Apollo Expert,0.0,Portable,USB Type-A 3.2 Gen 1,1000,0.0,Unknown
Toshiba Canvio Connect,0.0,Portable,USB Type-A 3.2 Gen 1,500,0.0,Unknown
Toshiba Canvio Connect,0.0,Portable,USB Type-A 3.2 Gen 1,500,0.0,Unknown
Toshiba Canvio Connect,0.0,Portable,USB Type-A 3.2 Gen 1,750,0.0,Unknown
Toshiba Canvio Connect,0.0,Portable,USB Type-A 3.2 Gen 1,750,0.0,Unknown
Toshiba Canvio Connect,0.0,Portable,USB Type-A 3.2 Gen 1,750,0.0,Unknown
Toshiba Canvio Connect,0.0,Portable,USB Type-A 3.2 Gen 1,750,0.0,Unknown
Toshiba Canvio Connect,0.0,Portable,USB Type-A 3.2 Gen 1,1000,0.0,Unknown
Toshiba Canvio Connect,0.0,Portable,USB Type-A 3.2 Gen 1,1000,0.0,Unknown
Toshiba Canvio Connect,0.0,Portable,USB Type-A 3.2 Gen 1,1000,0.0,Unknown
Toshiba Canvio Connect,0.0,Portable,USB Type-A 3.2 Gen 1,1000,0.0,Unknown
Toshiba Canvio Connect,0.0,Portable,USB Type-A 3.2 Gen 1,1000,0.0,Unknown
Toshiba Canvio Connect,0.0,Portable,USB Type-A 3.2 Gen 1,1500,0.0,Unknown
Toshiba Canvio Connect,0.0,Portable,USB Type-A 3.2 Gen 1,1500,0.0,Unknown
Toshiba Canvio Connect,0.0,Portable,USB Type-A 3.2 Gen 1,1500,0.0,Unknown
Toshiba Canvio Connect,0.0,Portable,USB Type-A 3.2 Gen 1,1500,0.0,Unknown
Toshiba Canvio Connect,0.0,Portable,USB Type-A 3.2 Gen 1,1500,0.0,Unknown
Toshiba Canvio Connect,0.0,Portable,USB Type-A 3.2 Gen 1,2000,0.0,Unknown
Toshiba Canvio Connect,0.0,Portable,USB Type-A 3.2 Gen 1,2000,0.0,Unknown
Toshiba Canvio Connect,0.0,Portable,USB Type-A 3.2 Gen 1,2000,0.0,Unknown
Toshiba Canvio Connect,0.0,Portable,USB Type-A 3.2 Gen 1,2000,0.0,Unknown
Toshiba Canvio Slim II,101.0,Portable,USB Type-A 3.2 Gen 1,1000,0.101,Unknown
Lenovo ThinkPad,0.0,Portable,USB Type-A 3.2 Gen 1,500,0.0,Unknown
Transcend TS128GESD200K,0.0,Portable,USB Type-A 3.2 Gen 1,128,0.0,Unknown
Transcend TS128GSJC10K,0.0,Portable,USB Type-A 3.2 Gen 1,128,0.0,Unknown
Transcend StoreJet,0.0,Portable,USB Type-A 3.2 Gen 1,1000,0.0,Unknown
Western Digital My Passport,0.0,Portable,USB Type-A 3.2 Gen 1,2000,0.0,Unknown
Apricorn Padlock SSD,186.03,Portable,USB Type-A 3.2 Gen 1,240,0.775,Black
Apricorn Padlock SSD,289.95,Portable,USB Type-A 3.2 Gen 1,480,0.604,Black
SanDisk Extreme 900,0.0,Portable,USB Type-A 3.2 Gen 2,1920,0.0,Unknown
SanDisk Extreme 900,0.0,Portable,USB Type-A 3.2 Gen 2,480,0.0,Unknown
Seagate Backup Plus,0.0,Portable,USB Type-A 3.2 Gen 1,4000,0.0,Unknown
Seagate STDR5000100,0.0,Portable,Unknown,5000,0.0,Unknown
ADATA SD600,0.0,Portable,USB Type-A 3.2 Gen 1,256,0.0,Unknown
ADATA SD600,0.0,Portable,USB Type-A 3.2 Gen 1,256,0.0,Unknown
ADATA SD600,0.0,Portable,USB Type-A 3.2 Gen 1,512,0.0,Unknown
ADATA SD600,0.0,Portable,USB Type-A 3.2 Gen 1,512,0.0,Unknown
ADATA SD700,0.0,Portable,USB Type-A 3.2 Gen 1,1000,0.0,Unknown
ADATA SD700,164.8,Portable,USB Type-A 3.2 Gen 1,256,0.644,Unknown
ADATA SD700,0.0,Portable,USB Type-A 3.2 Gen 1,256,0.0,Unknown
ADATA SD700,0.0,Portable,USB Type-A 3.2 Gen 1,512,0.0,Unknown
ADATA SD700,0.0,Portable,USB Type-A 3.2 Gen 1,512,0.0,Unknown
Seagate Backup Plus Portable,0.0,Portable,USB Type-A 3.2 Gen 1,5000,0.0,Silver
Seagate Backup Plus Portable,0.0,Portable,USB Type-A 3.2 Gen 1,5000,0.0,Blue
Seagate Backup Plus Portable,0.0,Portable,USB Type-A 3.2 Gen 1,5000,0.0,Black
Apricorn Aegis Padlock Fortress,251.29,Portable,USB Type-A 3.2 Gen 1,2000,0.126,Black
Buffalo Technology Americas MiniStation,0.0,Portable,USB Type-A 3.2 Gen 1,2000,0.0,Black
Apricorn Apricorn Aegis Padlock,0.0,Portable,USB Type-A 3.2 Gen 1,128,0.0,Black
Buffalo Technology Americas MiniStation,0.0,Portable,USB Type-A 3.2 Gen 1,1000,0.0,Black
Apricorn Aegis Padlock DT,0.0,Portable,USB Type-A 3.2 Gen 1,14000,0.0,Black
Apricorn Aegis Fortress,294.99,Portable,USB Type-A 3.2 Gen 1,512,0.576,Black
Seagate Backup Plus Portable,184.49,Portable,USB Type-A 3.2 Gen 1,4000,0.046,Blue / White
Seagate Backup Plus Portable,0.0,Portable,USB Type-A 3.2 Gen 1,5000,0.0,Blue / White
Seagate Backup Plus Ultra Touch,0.0,Portable,USB Type-A 3.2 Gen 1,1000,0.0,White
Seagate Backup Plus Ultra Touch,0.0,Portable,USB Type-A 3.2 Gen 1,2000,0.0,White
Western Digital G-DRIVE Mobile,0.0,Portable,"USB Type-A 2.0, USB Type-C 3.2 Gen 1",4000,0.0,Silver
Western Digital G-DRIVE ev RaW,0.0,Portable,"USB Type-A 2.0, USB Type-A 3.2 Gen 1",2000,0.0,Silver
Western Digital G-DRIVE Mobile,0.0,Portable,USB Type-C 3.2 Gen 1,2000,0.0,Silver
Western Digital G-DRIVE Mobile,0.0,Portable,USB Type-C 3.2 Gen 1,2000,0.0,Silver
Western Digital G-DRIVE Mobile,0.0,Portable,USB Type-C 3.2 Gen 1,1000,0.0,Silver
Western Digital My Passport,69.98,Portable,USB Type-A 3.2 Gen 1,1000,0.07,Red
Apacer AS722,0.0,Portable,USB Type-C 3.2 Gen 1,512,0.0,Black
Apacer AS722,0.0,Portable,USB Type-C 3.2 Gen 1,1000,0.0,Black
Apacer AS721,0.0,Portable,USB Type-C 3.2 Gen 1,250,0.0,Black
Apacer AS721,0.0,Portable,USB Type-C 3.2 Gen 1,500,0.0,Black
Apacer AS721,0.0,Portable,USB Type-C 3.2 Gen 1,1000,0.0,Black
SanDisk G-DRIVE ArmorLock,0.0,Portable,USB Type-C 3.2 Gen 1,1000,0.0,Black / Yellow
SanDisk G-DRIVE ArmorLock,189.99,Portable,USB Type-C 3.2 Gen 1,2000,0.095,Black / Yellow
Samsung T7 Portable,0.0,Portable,USB Type-C 3.2 Gen 2,500,0.0,Black
Samsung T5 Portable,0.0,Portable,USB Type-C 3.2 Gen 2,1000,0.0,Red
Samsung T5 Portable,0.0,Portable,USB Type-C 3.2 Gen 2,500,0.0,Red
Samsung T5 Portable,0.0,Portable,USB Type-C 3.2 Gen 2,500,0.0,Gold
Samsung T3 Portable,0.0,Portable,USB Type-C 3.2 Gen 1,1000,0.0,Unknown
