name,price,bd,dvd,cd,bd_write,dvd_write,cd_write
Samsung SH-S223Q,0.0,0.0,16.0,48.0,Unknown,22/8/16/22/6/12/12,48/32
Archgon CB-5021-GB,0.0,6.0,8.0,24.0,6/2/2/2,8/8/6/8/6/6/5,24/4
Silverstone SOD02B,0.0,0.0,8.0,24.0,Unknown,8/8/6/8/6/6/5,24/4
OcUK CD-005-OK,0.0,10.0,16.0,40.0,6/-/8/-,16/8/8/12/8/8/12,48/40
Lite-On SOHW-832S,0.0,0.0,12.0,40.0,Unknown,8/4/2/8/4/2/-,40/24
I/O Magic IDVD24S,30.68,0.0,0.0,0.0,Unknown,24/8/16/24/1/16/12,48/32
Asus DRW-24D3ST,0.0,0.0,16.0,48.0,Unknown,16/13/12/16/8/12/5,48/40
Samsung SH-224FB,0.0,0.0,16.0,48.0,Unknown,24/8/8/24/6/8/5,48/24
Pioneer BDR-211EBK,0.0,0.0,0.0,0.0,16/-/-/-,-/16/-/-/16/-/-,-/40
Samsung SH-S203B,0.0,0.0,20.0,48.0,Unknown,20/8/12/20/6/12/12,32/48
HP 1270i,0.0,0.0,16.0,48.0,Unknown,24/8/12/24/6/12/12,48/32
LG GH22NP21,0.0,0.0,16.0,48.0,Unknown,22/8/16/22/6/12/12,48/32
LG GH22NS70 OEM,0.0,0.0,16.0,48.0,Unknown,22/8/8/22/6/8/12,48/32
LG GH24LS70,0.0,0.0,16.0,48.0,Unknown,24/8/8/24/6/8/12,48/32
LG GH24NS70 OEM,0.0,0.0,16.0,48.0,Unknown,24/8/8/24/6/8/12,48/32
Lite-On iHAP122-04,0.0,0.0,16.0,48.0,Unknown,22/8/8/22/6/8/12,48/32
Lite-On iHAP222-06,0.0,0.0,16.0,48.0,Unknown,22/8/8/22/6/8/12,48/32
Pioneer BDR-206DBKS,0.0,8.0,16.0,40.0,12/12/2/2,16/8/8/16/6/8/-,40/24
Plextor PX-B940SA-11,0.0,8.0,16.0,40.0,12/12/2/2,16/8/8/16/6/8/5,40/24
Samsung SH-222AL,0.0,0.0,16.0,48.0,Unknown,22/8/16/22/6/12/12,48/24
Sony AD-7260S-0B,0.0,0.0,16.0,48.0,Unknown,24/8/12/24/6/12/12,48/32
Sony AD-7261S-0B,0.0,0.0,16.0,48.0,Unknown,24/8/12/24/6/12/12,48/32
Sony AD-7690H-01,0.0,0.0,8.0,24.0,Unknown,8/8/6/8/6/6/5,24/24
Sony AD-7710H-01,0.0,0.0,8.0,24.0,Unknown,8/8/6/8/6/6/5,24/24
Sony BD-5740H-01,0.0,6.0,8.0,24.0,6/6/2/2,8/8/6/8/6/6/5,24/16
HP 481041-B21,0.0,0.0,8.0,24.0,Unknown,Unknown,Unknown
LG UH12LS28 OEM,0.0,12.0,16.0,48.0,Unknown,16/8/8/16/6/8/12,48/24
Plextor PX-L871A,0.0,0.0,16.0,48.0,Unknown,22/8/12/22/6/12/12,48/24
Sony BC-5640H-01,0.0,6.0,8.0,24.0,Unknown,8/8/6/8/6/6/5,24/16
Plextor PX-B320SA SW,0.0,8.0,16.0,48.0,Unknown,16/8/8/16/6/8/12,48/32
Asus DRW-24B3LT/BLK/G/AS,0.0,0.0,16.0,48.0,Unknown,24/8/-/24/8/-/-,48/24
Lite-On Ihap322-98,0.0,0.0,16.0,48.0,Unknown,22/8/-/22/6/-/12,48/32
Lite-On iHAP422-98,0.0,0.0,16.0,48.0,Unknown,22/8/8/22/6/8/12,48/32
Lite-On iHAS-324-98B,0.0,0.0,16.0,48.0,Unknown,24/8/8/24/6/8/12,48/32
Plextor PX-L890SA R,0.0,0.0,16.0,48.0,Unknown,24/8/12/24/6/12/12,48/24
Samsung SH-S222A,0.0,0.0,16.0,48.0,Unknown,22/8/16/22/6/12/12,48/32
Sony AD-7260S-01,0.0,0.0,16.0,48.0,Unknown,24/8/12/24/6/12/12,48/32
Lite-On iHDP118-04,0.0,0.0,18.0,48.0,Unknown,Unknown,Unknown
Lite-On iHDP118-08,0.0,0.0,18.0,48.0,Unknown,Unknown,Unknown
Buslink DBW-1647,0.0,0.0,16.0,48.0,Unknown,16/4/4/16/4/-/-,48/32
Asus DRW-22B3S/BLK/G/AS,0.0,0.0,16.0,48.0,Unknown,22/8/12/22/6/12/12,48/24
Asus DRW-22B2Sb/BLK/B/AS,0.0,0.0,16.0,48.0,Unknown,22/8/12/22/6/12/12,48/32
Lite-On iHAS524-T98A,0.0,0.0,16.0,48.0,Unknown,24/8/12/24/6/12/12,48/32
Lite-On DS-8A5S,0.0,0.0,8.0,24.0,Unknown,8/8/6/8/6/6/5,24/24
MSI DH-24AAS-17 R,0.0,0.0,16.0,48.0,Unknown,24/8/12/24/6/12/12,48/32
Lite-On iHES112-29,0.0,12.0,16.0,48.0,Unknown,16/8/8/16/6/8/12,48/24
Lite-On ihes112-04,0.0,12.0,16.0,48.0,Unknown,16/8/8/16/6/8/12,48/24
Lite-On iHES208-08,0.0,8.0,16.0,48.0,Unknown,16/8/8/16/6/8/12,48/48
Teac DV516E/B/S,0.0,0.0,16.0,48.0,Unknown,Unknown,Unknown
Teac DV516E/S,0.0,0.0,16.0,48.0,Unknown,Unknown,Unknown
Memorex 98240-KIT,0.0,0.0,16.0,48.0,Unknown,24/8/8/24/6/8/-,48/32
Lite-On DS-8A8SH,0.0,0.0,8.0,24.0,Unknown,8/8/6/8/6/6/5,24/24
Memorex MRX-550L,0.0,0.0,16.0,48.0,Unknown,24/8/-/24/6/-/-,48/32
Sony AD-7740H-01,0.0,0.0,8.0,0.0,Unknown,8/-/-/8/-/-/-,Unknown
LG WH12LS30,0.0,10.0,16.0,48.0,12/12/2/2,16/8/8/16/6/8/12,48/24
I/O Magic IDVD22DL,0.0,0.0,16.0,48.0,Unknown,22/8/16/22/6/16/12,48/32
I/O Magic IBD1,0.0,10.0,16.0,48.0,10/8/2/-,16/8/4/16/6/4/-,48/24
Samsung SH-222AL/RSBS,0.0,0.0,16.0,48.0,Unknown,22/8/16/22/6/12/12,48/24
Samsung SN-208BB,0.0,0.0,8.0,24.0,Unknown,8/8/8/8/6/8/5,24/4
Samsung SH-222AL/BSBE,0.0,0.0,16.0,48.0,Unknown,22/8/16/22/6/12/12,48/24
Lite-On iHAS324-99,0.0,0.0,16.0,48.0,Unknown,24/8/12/24/6/12/12,48/32
Lite-On iHES212-08,0.0,12.0,16.0,48.0,Unknown,16/8/8/16/6/8/12,48/24
Samsung SH-222BB/BEBE,0.0,0.0,16.0,48.0,Unknown,22/8/8/22/6/8/12,48/24
LG CH12LS28,0.0,10.0,16.0,48.0,Unknown,16/8/8/16/6/8/12,48/24
Lite-On IHBS312-98,0.0,8.0,16.0,48.0,12/8/2/2,16/8/8/16/6/8/12,48/24
Pioneer BDR-2208,0.0,12.0,16.0,40.0,15/14/2/2,16/8/8/16/6/8/5,40/24
Sony AD-7280S-02,0.0,0.0,16.0,48.0,Unknown,24/8/12/24/6/12/12,48/32
Pioneer BDR-207DBKS,0.0,10.0,16.0,40.0,12/12/2/2,16/8/8/16/6/8/-,40/24
Pioneer BDR-207,0.0,10.0,16.0,40.0,12/12/2/2,16/8/8/16/6/8/-,40/24
Lite-On ihas524-T06,0.0,0.0,16.0,48.0,Unknown,24/8/12/24/6/12/12,48/32
Lite-On IHES312-98,0.0,12.0,16.0,48.0,Unknown,16/8/8/16/6/8/12,48/24
MSI DH-24AS,0.0,0.0,16.0,48.0,Unknown,24/8/12/24/6/12/12,48/32
Samsung SH-224BB,0.0,0.0,16.0,48.0,Unknown,24/8/8/24/6/8/12,48/24
