name,price,capacity,price_per_gb,type,cache,form_factor,interface
Western Digital Green SN350,119.34,2000.0,0.06,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
SK Hynix Gold P31,84.99,1000.0,0.085,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Inland Performance Plus,138.99,2000.0,0.069,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Silicon Power UD85,67.98,1000.0,0.068,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Seagate Surveillance HDD,0.0,2000.0,0.0,5400,64.0,3.5,SATA 6.0 Gb/s
TEAMGROUP CX2,102.99,2000.0,0.051,SSD,0.0,2.5,SATA 6.0 Gb/s
Seagate BarraCuda,81.5,2000.0,0.041,5400,128.0,2.5,SATA 6.0 Gb/s
Toshiba P300,71.14,1000.0,0.071,7200,64.0,3.5,SATA 6.0 Gb/s
Patriot P310,21.99,240.0,0.092,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
ADATA XPG SX8200 Pro,116.0,2000.0,0.058,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Crucial T700 W/Heatsink,289.99,2000.0,0.145,SSD,0.0,M.2-2280,M.2 PCIe 5.0 X4
ADATA SU630,30.47,240.0,0.127,SSD,0.0,2.5,SATA 6.0 Gb/s
Crucial P5 Plus W/Heatsink,172.47,2000.0,0.086,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Corsair MP600 PRO LPX,164.99,2000.0,0.082,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Seagate FireCuda 540,309.99,2000.0,0.155,SSD,0.0,M.2-2280,M.2 PCIe 5.0 X4
TEAMGROUP Cardea A440,143.36,2000.0,0.072,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Sabrent Rocket 5,339.99,2000.0,0.17,SSD,0.0,M.2-2280,M.2 PCIe 5.0 X4
Sabrent Rocket Q,0.0,1000.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Blue,94.99,6000.0,0.016,5400,64.0,3.5,SATA 6.0 Gb/s
Seagate BarraCuda Pro,217.0,10000.0,0.022,7200,256.0,3.5,SATA 6.0 Gb/s
Sabrent Rocket 4 Plus,119.99,1000.0,0.12,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Kingston NV1,74.98,1000.0,0.075,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Toshiba MQ01ABD032,10.36,320.0,0.032,5400,8.0,2.5,SATA 3.0 Gb/s
Corsair MP600 PRO XT,175.99,2000.0,0.088,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue SN550,0.0,500.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Lexar NM790 w/Heatsink,84.99,1000.0,0.085,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital WD_BLACK,56.99,1000.0,0.057,7200,64.0,3.5,SATA 6.0 Gb/s
Leven JPS600,58.99,1000.0,0.059,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Patriot Burst Elite,49.99,960.0,0.052,SSD,0.0,2.5,SATA 6.0 Gb/s
HP FX900 Pro,134.99,2000.0,0.067,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Inland TN470,137.99,2000.0,0.069,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Seagate FireCuda 530,115.0,1000.0,0.115,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Leven JS600,53.99,1000.0,0.054,SSD,0.0,2.5,SATA 6.0 Gb/s
Samsung 860 Evo,86.13,250.0,0.345,SSD,512.0,2.5,SATA 6.0 Gb/s
Western Digital WD_BLACK,109.99,6000.0,0.018,7200,128.0,3.5,SATA 6.0 Gb/s
Western Digital Blue SA510,136.87,2000.0,0.068,SSD,0.0,2.5,SATA 6.0 Gb/s
Inland Performance Plus,75.98,1000.0,0.076,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Seagate Momentus 5400.6,21.99,500.0,0.044,5400,8.0,2.5,SATA 3.0 Gb/s
FanXiang S880,79.98,1000.0,0.08,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Patriot P210,30.99,512.0,0.061,SSD,0.0,2.5,SATA 6.0 Gb/s
Mushkin Vortex Redline,136.99,2000.0,0.068,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue SA510,271.7,4000.0,0.068,SSD,0.0,2.5,SATA 6.0 Gb/s
PNY CS900,69.99,1000.0,0.07,SSD,0.0,2.5,SATA 6.0 Gb/s
Seagate FireCuda,99.99,4000.0,0.025,7200,256.0,3.5,SATA 6.0 Gb/s
Sabrent Rocket 4 Plus,499.99,4000.0,0.125,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Red Plus,199.99,10000.0,0.02,7200,256.0,3.5,SATA 6.0 Gb/s
Mushkin Helix-L,61.99,1000.0,0.062,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Crucial T705 W/Heatsink Limited Edition,346.99,2000.0,0.173,SSD,0.0,M.2-2280,M.2 PCIe 5.0 X4
Samsung 860 Pro,1099.99,4000.0,0.275,SSD,4096.0,2.5,SATA 6.0 Gb/s
TEAMGROUP MP33 PRO,40.99,512.0,0.08,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
