name,price,socket,form_factor,max_memory,memory_slots,color
Asus TUF GAMING B760M-E D4,178.48,LGA1700,Micro ATX,128,4,Black / Orange
Gigabyte Z690 AORUS MASTER,0.0,LGA1700,EATX,192,4,Black
MSI B450 Gaming Plus,0.0,AM4,ATX,64,4,Red / Black
Gigabyte Z590 AORUS ELITE AX,0.0,LGA1200,ATX,128,4,Black
Biostar B550MH,139.66,AM4,Micro ATX,64,2,Black
ASRock B660M-C,0.0,LGA1700,Micro ATX,128,4,Black
Asus A620M-AYW WIFI,0.0,AM5,Micro ATX,96,2,Silver / Black
Gigabyte X570S UD,0.0,AM4,ATX,128,4,Black / Gray
Asus TUF X470-PLUS GAMING,0.0,AM4,ATX,64,4,Black
MSI H410M PRO,0.0,LGA1200,Micro ATX,64,2,Black / Silver
MSI B450-A PRO,0.0,AM4,ATX,64,4,Brown / Black
Gigabyte H610M H,111.65,LGA1700,Micro ATX,64,2,Brown / Silver
ASRock B460M Pro4,0.0,LGA1200,Micro ATX,128,4,Black / Silver
MSI PRO B660M-A WIFI,0.0,LGA1700,Micro ATX,192,4,Black / Silver
Asus PRIME H570M-PLUS/CSM,199.99,LGA1200,Micro ATX,128,4,Black / Silver
Asus Z10PE-D16,0.0,2 x LGA2011-3 Narrow,SSI EEB,1024,16,Black / Blue
Intel DG41TX,0.0,LGA775,Micro ATX,4,2,Green / Blue
MSI Creator TRX40,0.0,sTRX4,EATX,256,8,Black / Silver
Asus AM1I-A,0.0,AM1,Mini ITX,32,2,Black / Gold
Gigabyte Z490 VISION G,429.99,LGA1200,ATX,128,4,White / Black
MSI Z97 PC MATE,0.0,LGA1150,ATX,32,4,Black / Blue
MSI B460M-A PRO,0.0,LGA1200,Micro ATX,64,2,Black
Asus PRIME A520M-E,0.0,AM4,Micro ATX,64,2,Black
MSI X370 XPOWER GAMING TITANIUM,0.0,AM4,ATX,64,4,Silver
Asus TUF B360M-PLUS GAMING,0.0,LGA1151,Micro ATX,64,4,Silver / Orange
Asus TUF GAMING X570-PRO (WI-FI),0.0,AM4,ATX,128,4,Black / Gold
ASRock B760I Lightning WiFi,169.99,LGA1700,Mini ITX,96,2,Black
Asus PRIME B650M-A-CSM,161.81,AM5,Micro ATX,128,4,Silver / Black
Gigabyte X570 AORUS ULTRA,0.0,AM4,ATX,128,4,Black / Silver
Gigabyte B660 GAMING X AX DDR4,174.63,LGA1700,ATX,128,4,Black
Asus TUF GAMING H670-PRO WIFI D4,199.99,LGA1700,ATX,128,4,Gray / Black
Asus Pro B650M-CT-CSM,149.99,AM5,Micro ATX,192,4,Green / Black
Asus TUF GAMING B760M-PLUS,207.61,LGA1700,Micro ATX,192,4,Black / Orange
Gigabyte B560M DS3H V2,0.0,LGA1200,Micro ATX,128,4,Black
ASRock B550 Taichi,301.67,AM4,ATX,128,4,Gold / Black
MSI MAG X570S TORPEDO MAX,0.0,AM4,ATX,128,4,Blue / Black
Asus Pro B760M-CT-CSM,129.99,LGA1700,Micro ATX,192,4,Green / Black
MSI MPG B760I EDGE WIFI DDR4,0.0,LGA1700,Mini ITX,64,2,Silver / Black
MSI MPG Z590 GAMING PLUS,0.0,LGA1200,ATX,128,4,Black
Gigabyte GA-H110M-DS2,0.0,LGA1151,Micro ATX,32,2,Black / Silver
Asus ROG Crosshair VII Hero (Wi-Fi),0.0,AM4,ATX,64,4,Black
Gigabyte TRX40 DESIGNARE,0.0,sTRX4,XL ATX,256,8,Black / Silver
Asus ROG STRIX Z390-H GAMING,339.99,LGA1151,ATX,128,4,Black / Red
NZXT N5 Z690,239.99,LGA1700,ATX,128,4,Black
Asus TUF GAMING H770-PRO WIFI,0.0,LGA1700,ATX,192,4,Black
MSI MEG X570 ACE,0.0,AM4,ATX,128,4,Black / Silver
Gigabyte GA-AB350M-Gaming 3,0.0,AM4,Micro ATX,64,4,Black / Red
Gigabyte B450 Gaming X,0.0,AM4,ATX,64,4,Black / Red
ASRock H610M-H2/M.2 D5,0.0,LGA1700,Micro ATX,96,2,Black / Silver
Asus MAXIMUS IX HERO,0.0,LGA1151,ATX,64,4,Black / Silver
MSI PRO B660M-E DDR4,0.0,LGA1700,Micro ATX,64,2,Black / Silver
Asus P8H61-M LX3 R2.0,0.0,LGA1155,Micro ATX,16,2,Black / Blue
Asus PRIME B560M-A AC,0.0,LGA1200,Micro ATX,128,4,Black / Silver
Gigabyte Z590 AORUS ULTRA,389.0,LGA1200,ATX,128,4,Black
MSI MAG B460M MORTAR WIFI,0.0,LGA1200,Micro ATX,128,4,Silver / Black
Gigabyte H310M S2H,0.0,LGA1151,Micro ATX,32,2,Silver / Brown
MSI MPG B550I GAMING EDGE MAX WIFI,0.0,AM4,Mini ITX,64,2,Black
MSI Z87-G45 Gaming,0.0,LGA1150,ATX,32,4,Brown / Black
ASRock H97M Pro4,0.0,LGA1150,Micro ATX,32,4,Black / Blue
Asus PRIME B760M-A WIFI-CSM,0.0,LGA1700,Micro ATX,128,4,Silver / Black
MSI MAG B660M BAZOOKA DDR4,227.6,LGA1700,Micro ATX,128,4,Green / Black
ASRock X570M Pro4,0.0,AM4,Micro ATX,128,4,Black / Silver
Asus STRIX X370-F GAMING,408.67,AM4,ATX,64,4,Black
ASRock H670 PG Riptide,149.99,LGA1700,ATX,128,4,Black
Gigabyte Z690 UD DDR4,223.14,LGA1700,ATX,128,4,Black
ASRock B660 Steel Legend,0.0,LGA1700,ATX,128,4,Silver / Black
Gigabyte GA-F2A55M-DS2,0.0,FM2,Micro ATX,64,2,Blue / White
MSI B350M PRO-VDH,0.0,AM4,Micro ATX,64,4,Brown / Black
MSI X99A GAMING PRO CARBON,0.0,LGA2011-3,ATX,128,8,Black / Silver
ASRock A320M,0.0,AM4,Micro ATX,32,2,Black / Silver
MSI MPG Z390I GAMING EDGE AC,0.0,LGA1151,Mini ITX,64,2,Black / Silver
MSI TRX40 PRO 10G,0.0,sTRX4,ATX,256,8,Black / Silver
Asus EX-A320M-GAMING,0.0,AM4,Micro ATX,64,4,Red / Black
ASRock B450M Steel Legend Pink,0.0,AM4,Micro ATX,128,4,Black / Pink
Asus PRIME H410M-E,0.0,LGA1200,Micro ATX,64,2,Black
ASRock B650M-C,0.0,AM5,Micro ATX,192,4,Black
MSI Z590 PLUS,0.0,LGA1200,ATX,128,4,Black / Silver
Gigabyte B550 AORUS MASTER,0.0,AM4,ATX,128,4,Black / Silver
Asus PRIME H310M-K R2.0,0.0,LGA1151,Micro ATX,32,2,Black
ASRock TRX40 TAICHI,0.0,sTRX4,ATX,256,8,Black / Silver
Biostar A520MH,0.0,AM4,Micro ATX,64,2,Black / Silver
ASRock X399M Taichi,0.0,sTR4,Micro ATX,64,4,Black
Gigabyte Z790 S WIFI DDR4 (rev. 1.1/1.2),0.0,LGA1700,ATX,128,6,Black
ASRock Z790I Lightning WiFi,259.99,LGA1700,Mini ITX,96,2,Black
ASRock H310CM-ITX/ac,0.0,LGA1151,Mini ITX,32,2,Black / Silver
MSI Z370 GAMING PRO CARBON,0.0,LGA1151,ATX,64,4,Black
Asus PRIME H310M-A R2.0,0.0,LGA1151,Micro ATX,32,2,Black
Gigabyte B450M GAMING,0.0,AM4,Micro ATX,32,2,Red / Black
Asus PRIME B460-PLUS,0.0,LGA1200,ATX,128,4,Silver / Black
Asus Sabertooth 990FX R2.0,0.0,AM3+,ATX,32,4,Brown / Black
Asus STRIX Z270F,0.0,LGA1151,ATX,64,4,Black / Silver
MSI MEG X299 CREATION,0.0,LGA2066,EATX,128,8,Black
ASRock X99 Extreme11,0.0,LGA2011-3,EATX,128,8,Black / Blue
Asus Z97-A/USB 3.1,0.0,LGA1150,ATX,32,4,Black / Gold
MSI B450M MORTAR,0.0,AM4,Micro ATX,64,4,Black
Asus PRIME H310-PLUS,0.0,LGA1151,ATX,32,2,Black
Gigabyte X570 UD,0.0,AM4,ATX,128,4,Black / Silver
MSI Z370 TOMAHAWK,0.0,LGA1151,ATX,64,4,Black / Gray
Gigabyte Z490I AORUS ULTRA,467.9,LGA1200,Mini ITX,64,2,Black / Silver
Gigabyte A520M AORUS ELITE,99.99,AM4,Micro ATX,128,4,Black / Orange
MSI MEG X570S ACE MAX,0.0,AM4,ATX,128,4,Black
Gigabyte Z370 AORUS Gaming 7 (rev. 1.0),0.0,LGA1151,ATX,64,4,Black / Silver
Gigabyte B550 VISION D,0.0,AM4,ATX,128,4,White / Black
Asus ROG MAXIMUS XI FORMULA,689.0,LGA1151,ATX,128,4,Black
Asus M5A97 R2.0,0.0,AM3+,ATX,32,4,Black / Blue
MSI B350 GAMING PLUS,0.0,AM4,ATX,64,4,Black / Red
ASRock Fatal1ty B450 GAMING K4,0.0,AM4,ATX,64,4,Black / Silver
Asus ROG MAXIMUS X FORMULA,711.0,LGA1151,ATX,128,4,Black
Asus PRIME H610M-E-CSM,0.0,LGA1700,Micro ATX,96,2,Silver / Black
Asus ROG STRIX Z270i GAMING,0.0,LGA1151,Mini ITX,32,2,Black / Silver
MSI B250M PRO-VD,0.0,LGA1151,Micro ATX,32,2,Brown / Black
Gigabyte B550M AORUS PRO AX,0.0,AM4,Micro ATX,128,4,Black / Silver
MSI MAG B760M MORTAR MAX WIFI DDR4,0.0,LGA1700,Micro ATX,128,4,Silver / Black
Asus PRIME X670E-PRO WIFI-CSM,0.0,AM5,ATX,192,4,Silver / Black
Gigabyte H610M H DDR4,103.6,LGA1700,Micro ATX,64,2,Black / Gray
Asus P8Z77-V PRO,0.0,LGA1155,ATX,32,4,Black / Blue
Asus ROG Crosshair VII Hero,0.0,AM4,ATX,64,4,Black
MSI B450M PRO-VDH,0.0,AM4,Micro ATX,64,4,Brown
MSI PRO B660-A DDR4,0.0,LGA1700,ATX,128,4,Black / Silver
Foxconn A7DA-S 3.0,90.0,AM3,ATX,8,4,Unknown
Gigabyte Z590 AORUS MASTER,449.99,LGA1200,ATX,128,4,Black
Asus ROG STRIX Z490-I GAMING,0.0,LGA1200,Mini ITX,64,2,Black
Asus PRIME H410M-K,180.0,LGA1200,Micro ATX,64,2,Black
Asus ROG STRIX X470-I GAMING,0.0,AM4,Mini ITX,32,2,Black
Gigabyte GA-AB350M-DS3H,0.0,AM4,Micro ATX,64,4,Black
Gigabyte Z790 D,0.0,LGA1700,ATX,192,4,Black / Gray
MSI B150A Gaming Pro,0.0,LGA1151,ATX,64,4,Black / Red
Gigabyte H610M S2H DDR4,173.0,LGA1700,Micro ATX,64,2,Black / Gray
MSI Z270 GAMING M3,0.0,LGA1151,ATX,64,4,Black / Red
Gigabyte Z370 HD3 (rev. 1.0),0.0,LGA1151,ATX,64,4,Black / Gray
Gigabyte B550 AORUS PRO V2,0.0,AM4,ATX,128,4,Black
ASRock Z690 STEEL LEGEND/D5,0.0,LGA1700,ATX,192,4,Black / White
ASRock Z690 Taichi Razer Edition,0.0,LGA1700,ATX,192,4,Black
Asus H61M-C,0.0,LGA1155,Micro ATX,16,2,Black / Blue
ASRock B450M Pro4-F R2.0,159.0,AM4,Micro ATX,128,4,Black
Gigabyte Z590 AORUS XTREME,848.48,LGA1200,EATX,128,4,Black
ASRock B760M-H2/M.2,0.0,LGA1700,Micro ATX,96,2,Black / Silver
MSI B550-A PRO (CEC),0.0,AM4,ATX,128,4,Black
MSI MPG Z590 GAMING EDGE WIFI,0.0,LGA1200,ATX,128,4,Black
ASRock B250M Pro4,0.0,LGA1151,Micro ATX,64,4,Black / White
Asus PRIME B760M-A AX6,0.0,LGA1700,Micro ATX,192,4,Silver / Black
ASRock H670M Pro RS,139.99,LGA1700,Micro ATX,128,4,Gray / Black
Gigabyte Z590 AORUS ELITE,324.03,LGA1200,ATX,128,4,Black
Asus ProArt B760-CREATOR,0.0,LGA1700,ATX,192,4,Black / Copper
Gigabyte MW50-SV0,0.0,LGA2011-3,ATX,256,8,Blue / Black
Gigabyte GA-P35-DS3L,0.0,LGA775,ATX,8,4,Multicolor
Asus PRO A520M-C II/CSM,91.13,AM4,Micro ATX,64,2,Green / Black
Gigabyte B760M GAMING AC DDR4,0.0,LGA1700,Micro ATX,64,2,Black / Red
Asus ROG MAXIMUS XII FORMULA,654.0,LGA1200,ATX,128,4,Black
Asus ROG STRIX B360-F GAMING,0.0,LGA1151,ATX,64,4,Black
Gigabyte Z390 DESIGNARE,0.0,LGA1151,ATX,128,4,Black / Silver
MSI B560M-A PRO,0.0,LGA1200,Micro ATX,64,2,Black
Gigabyte GA-H110M-H,0.0,LGA1151,Micro ATX,32,2,Black / Silver
MSI H410M-A PRO,0.0,LGA1200,Micro ATX,64,2,Black / Silver
ASRock B660 Pro RS,0.0,LGA1700,ATX,128,4,Gray / Black
Biostar Z690 VALKYRIE,865.65,LGA1700,ATX,192,4,Black / Gray
Asus PRIME H770-PLUS,233.9,LGA1700,ATX,192,4,Silver / Black
Asus Rampage V Edition 10,0.0,LGA2011-3,EATX,128,8,Black
ASRock X399 Taichi,0.0,sTR4,ATX,128,8,Black / Silver
MSI Z790 GAMING WIFI,0.0,LGA1700,ATX,192,4,Black
MSI A320M PRO-VH PLUS,0.0,AM4,Micro ATX,32,2,Brown / Black
Asus Z97 PRO GAMER,0.0,LGA1150,ATX,32,4,Black / Red
MSI H110M Gaming,0.0,LGA1151,Micro ATX,32,2,Black / Red
MSI X470 GAMING PRO,0.0,AM4,ATX,64,4,Black / Red
ASRock B365M Phantom Gaming 4,0.0,LGA1151,Micro ATX,128,4,Black / Red
ASRock X299 Steel Legend,222.99,LGA2066,ATX,256,8,Silver / Black
Asus Sabertooth Z87,0.0,LGA1150,ATX,32,4,Brown / Black
Asus H170-PRO,0.0,LGA1151,ATX,64,4,Black / Gold
ASRock A88M-G/3.1,0.0,FM2+,Micro ATX,64,4,Black / Red
Asus TUF Z370 Plus Gaming,0.0,LGA1151,ATX,64,4,Black / Yellow
MSI B450M BAZOOKA,0.0,AM4,Micro ATX,64,4,Black / Silver
MSI Z270 SLI PLUS,394.99,LGA1151,ATX,64,4,Black / Silver
ASRock B560M Pro4,0.0,LGA1200,Micro ATX,128,4,Silver / Black
Asus H110M-A/M.2,0.0,LGA1151,Micro ATX,32,2,Black / Gold
Gigabyte GA-AX370M-DS3H,0.0,AM4,Micro ATX,64,4,Black
MSI MPG Z390M GAMING EDGE AC,0.0,LGA1151,Micro ATX,128,4,Black / Silver
Gigabyte B360N GSM,179.99,LGA1151,Mini ITX,32,2,Black
ASRock Z590M Pro4,249.99,LGA1200,Micro ATX,128,4,Black / Silver
ASRock Z390 Phantom Gaming-ITX/ac,0.0,LGA1151,Mini ITX,64,2,Black / Silver
ASRock B760M Pro-A D4 WiFi,0.0,LGA1700,Micro ATX,128,4,White / Black
Asus PRIME H610M-A D4,0.0,LGA1700,Micro ATX,64,2,Silver / Black
Gigabyte GA-Z170X-Gaming 7,0.0,LGA1151,ATX,64,4,Black / Red
ASRock X399D8A-2T,0.0,sTR4,ATX,256,8,Green / Blue
ASRock Z270 Killer SLI/ac,333.78,LGA1151,ATX,64,4,Black / White
ASRock X399 Phantom Gaming 6,918.0,sTR4,ATX,128,8,Black / Silver
Gigabyte B760M AORUS ELITE AX DDR4,0.0,LGA1700,Micro ATX,128,4,Black / Silver
Gigabyte B360 AORUS Gaming 3 WIFI,0.0,LGA1151,ATX,64,4,Black / Orange
Asus Z790 GAMING WIFI7,0.0,LGA1700,ATX,192,4,Silver / Black
Asus PRIME Z690M-PLUS D4,0.0,LGA1700,Micro ATX,128,4,Silver / Black
Asus PRIME A320M-A,119.99,AM4,Micro ATX,64,4,Black / Gray
ASRock B660M Phantom Gaming 4,0.0,LGA1700,Micro ATX,128,4,Silver / Black
MSI PRO B660M-G DDR4,0.0,LGA1700,Micro ATX,64,2,Black / Silver
Asus Z170I PRO GAMING,0.0,LGA1151,Mini ITX,32,2,Black / Red
MSI B150M BAZOOKA,0.0,LGA1151,Micro ATX,64,4,Black / White
MSI H310M PRO-M2 PLUS,0.0,LGA1151,Micro ATX,32,2,Black
Asus Pro B560M-CT/CSM,199.0,LGA1200,Micro ATX,128,4,Green
Gigabyte B660 DS3H DDR4,203.34,LGA1700,ATX,128,4,Black
Asus PRIME H610M-D D4,115.96,LGA1700,Micro ATX,64,2,Silver / Black
Asus ROG STRIX B660-F GAMING WIFI,0.0,LGA1700,ATX,192,4,Black
ASRock Z590 Phantom Gaming-ITX/TB4,349.0,LGA1200,Mini ITX,64,2,Black / Red
Gigabyte Z590 AORUS PRO AX,305.99,LGA1200,ATX,128,4,Black
Asus ROG STRIX Z490-A GAMING,0.0,LGA1200,ATX,128,4,Black / Silver
Gigabyte B365 HD3,0.0,LGA1151,ATX,64,4,Black / Silver
Asus H81M-C/CSM,0.0,LGA1150,Micro ATX,16,2,Black / Gold
Asus TUF GAMING B560-PLUS WIFI,0.0,LGA1200,ATX,128,4,Black
Asus MAXIMUS IX FORMULA,0.0,LGA1151,ATX,64,4,Black
MSI Z370 SLI PLUS,381.49,LGA1151,ATX,64,4,Black / Gray
MSI MEG Z390 ACE,600.0,LGA1151,ATX,128,4,Black / Silver
Asus PRIME Z370-A II,0.0,LGA1151,ATX,64,4,Black / Silver
Biostar A620MP-E PRO,0.0,AM5,Micro ATX,192,4,Black / Silver
Asus TUF GAMING B660M-PLUS D4,303.67,LGA1700,Micro ATX,128,4,Orange / Black
MSI X99A SLI PLUS,0.0,LGA2011-3,ATX,128,8,Black
Gigabyte GA-H110M-S2H,0.0,LGA1151,Micro ATX,32,2,Black
ASRock Z590-C/ac,0.0,LGA1200,ATX,128,4,Black
Gigabyte B560 HD3,0.0,LGA1200,ATX,128,4,Black / Gray
Asus TUF Z390-PRO GAMING,355.99,LGA1151,ATX,128,4,Black / Gold
Colorful CVN X570M GAMING FROZEN V14,0.0,AM4,Micro ATX,128,4,White
Asus Z97I-PLUS,0.0,LGA1150,Mini ITX,16,2,Black / Gold
Gigabyte H410M S2 V3,0.0,LGA1200,Micro ATX,64,2,Black / Gray
Asus PRIME H270M-PLUS,0.0,LGA1151,Micro ATX,64,4,Black / Silver
Asus ROG STRIX Z490-F GAMING,0.0,LGA1200,ATX,128,4,Black
Asus PRIME B650M-R,0.0,AM5,Micro ATX,96,2,Silver / Black
ASRock H670 Steel Legend,165.99,LGA1700,ATX,128,4,Silver / Gray
Asus Z10PA-D8,0.0,2 x LGA2011-3,ATX,512,8,Blue / White
Asus P8Z77-V LX,0.0,LGA1155,ATX,32,4,Black / Blue
Gigabyte B560M AORUS PRO AX,0.0,LGA1200,Micro ATX,128,4,Black / Silver
Gigabyte B660M AORUS Pro AX DDR4,0.0,LGA1700,Micro ATX,128,4,Black
MSI B250M GAMING PRO,0.0,LGA1151,Micro ATX,32,2,Black / Red
MSI PRO B650-VC WIFI,0.0,AM5,ATX,192,4,Black / Silver
Asus Pro B660M-C D4-CSM,129.99,LGA1700,Micro ATX,128,4,Green / Black
ASRock Z690 Steel Legend,0.0,LGA1700,ATX,128,4,Silver / Black
NZXT N7 Z590,0.0,LGA1200,ATX,128,4,Black
Asus ROG STRIX Z490-G GAMING (WI-FI),0.0,LGA1200,Micro ATX,128,4,Black
Asus ROG STRIX B560-F GAMING WIFI,0.0,LGA1200,ATX,128,4,Black / Silver
MSI MEG Z490I UNIFY,0.0,LGA1200,Mini ITX,64,2,Black / Silver
Asus H110-PLUS,0.0,LGA1151,ATX,32,2,Black / Gold
Gigabyte Z390 D,0.0,LGA1151,ATX,128,4,Black / Silver
MSI MEG Z690 UNIFY-X,0.0,LGA1700,ATX,96,2,Black / Silver
MSI Big Bang-Marshal (B3),0.0,LGA1155,XL ATX,32,4,Black / Blue
Gigabyte Z370 AORUS Gaming 5 (rev. 1.0),0.0,LGA1151,ATX,64,4,Black / Silver
MSI MAG Z690M MORTAR WIFI,0.0,LGA1700,Micro ATX,192,4,Silver / Black
Gigabyte X299 UD4 Pro,389.99,LGA2066,ATX,128,8,Black
Gigabyte B550M S2H,0.0,AM4,Micro ATX,64,2,Black / Silver
Gigabyte GA-H61M-DS2,0.0,LGA1155,Micro ATX,16,2,Blue / White
Asus SABERTOOTH X99,0.0,LGA2011-3,ATX,64,8,Brown / Black
Asus ROG Strix Z370-H Gaming,0.0,LGA1151,ATX,64,4,Black / Red
MSI X470 GAMING PRO CARBON,0.0,AM4,ATX,64,4,Black / Silver
Gigabyte B460M DS3H,0.0,LGA1200,Micro ATX,128,4,Black / Silver
MSI MEG B550 UNIFY,0.0,AM4,ATX,128,4,Black / Silver
MSI MEG Z590 UNIFY,0.0,LGA1200,ATX,128,4,Black
MSI MPG Z790 CARBON MAX WIFI,0.0,LGA1700,ATX,192,4,Black
ASRock X370 KILLER SLI/ac,0.0,AM4,ATX,64,4,Black / White
MSI B360M MORTAR,0.0,LGA1151,Micro ATX,64,4,Black
Gigabyte B560M DS3H,0.0,LGA1200,Micro ATX,128,4,Black
Gigabyte A620M H (rev. 1.0),0.0,AM5,Micro ATX,96,2,Black
ASRock B760M-C,0.0,LGA1700,Micro ATX,192,4,Black / Silver
ASRock Z390 Extreme4,199.99,LGA1151,ATX,128,4,Black
Asus PRIME B650M-A II,0.0,AM5,Micro ATX,192,4,Silver / Black
Gigabyte B450M H,0.0,AM4,Micro ATX,32,2,Black
Asus PRIME X670-P-CSM,0.0,AM5,ATX,192,4,Silver / Black
Gigabyte B660 AORUS Master DDR4,313.12,LGA1700,ATX,128,4,Black
Gigabyte GA-AB350N-Gaming WIFI (rev. 1.0),0.0,AM4,Mini ITX,32,2,Black / Red
NZXT N7 Z390,0.0,LGA1151,ATX,64,4,White / Black
Gigabyte B550M AORUS PRO,0.0,AM4,Micro ATX,128,4,Black / Silver
Biostar B660T-SILVER,0.0,LGA1700,Mini ITX,64,2,Silver / Black
ASRock Z590 Pro4,0.0,LGA1200,ATX,128,4,Black / Silver
ECS G31T-M7,0.0,LGA775,Micro ATX,4,2,Multicolor
Asus Q170M-C/CSM,0.0,LGA1151,Micro ATX,64,4,Black / Gold
Asus ROG MAXIMUS XI HERO,0.0,LGA1151,ATX,128,4,Black / Silver
ASRock H310M-HDV/M.2,199.99,LGA1151,Micro ATX,32,2,Black / Silver
Gigabyte Z590I AORUS ULTRA,509.0,LGA1200,Mini ITX,64,2,Black
Asus TUF GAMING B550M-ZAKU (WI-FI),0.0,AM4,Micro ATX,128,4,Black / Red
Gigabyte GA-B75M-D3H,0.0,LGA1155,Micro ATX,32,4,Blue / White
Gigabyte GA-H81M-DS2,0.0,LGA1150,Micro ATX,16,2,Black
Gigabyte Z590I VISION D,0.0,LGA1200,Mini ITX,64,2,Black / White
Intel DQ45CB,0.0,LGA775,Micro ATX,8,4,Green / Blue
MSI Z170-A PRO,0.0,LGA1151,ATX,64,4,Brown / Black
EVGA Z790 CLASSIFIED,0.0,LGA1700,EATX,128,4,Black
Asus PRIME A620-PLUS WIFI6,0.0,AM5,ATX,192,4,Silver / Black
ASRock A320M-ITX,0.0,AM4,Mini ITX,32,2,Black / Silver
Gigabyte GA-X79S-UP5-WIFI,0.0,LGA2011,EATX,64,8,Black / Blue
Asus X99-DELUXE,0.0,LGA2011-3,ATX,64,8,Black / White
MSI Z170A GAMING M7,0.0,LGA1151,ATX,64,4,Black / Red
Asus ROG STRIX Z590-F GAMING WIFI,0.0,LGA1200,ATX,128,4,Black / Silver
Asus PRIME H670-PLUS D4,246.89,LGA1700,ATX,128,4,Silver / Black
MSI MAG B660M MORTAR MAX WIFI DDR4,0.0,LGA1700,Micro ATX,128,4,Black / Silver
MSI H61M-P31/W8,0.0,LGA1155,Micro ATX,16,2,Black / Blue
Asus H97M-E,0.0,LGA1150,Micro ATX,32,4,Black / Gray
MSI Z170A PC MATE,0.0,LGA1151,ATX,64,4,Black
MSI X370 GAMING PLUS,0.0,AM4,ATX,64,4,Black / Red
MSI B360 GAMING ARCTIC,0.0,LGA1151,ATX,64,4,White
ASRock B365 Pro4,0.0,LGA1151,ATX,64,4,Black / Silver
MSI MPG Z490M GAMING EDGE WIFI,0.0,LGA1200,Micro ATX,128,4,Black / Silver
MSI A320M PRO-VH,0.0,AM4,Micro ATX,64,2,Brown / Black
MSI PRO B650-VC WIFI II,0.0,AM5,ATX,96,2,Black / White
Gigabyte B560 AORUS PRO AX,294.89,LGA1200,ATX,128,4,Black
Asus WS C246M PRO,320.5,LGA1151,Micro ATX,128,4,Black
Asus Pro A620M-DASH-CSM,0.0,AM5,Micro ATX,96,2,Green
Asus Z87-Pro,0.0,LGA1150,ATX,32,4,Black / Gold
MSI A68HM-E33 V2,0.0,FM2+,Micro ATX,32,2,Black
MSI Z170A GAMING PRO CARBON,0.0,LGA1151,ATX,64,4,Black / Silver
Asus PRIME Z370-P II,0.0,LGA1151,ATX,64,4,Silver / Black
ASRock B460M Pro4/ac,0.0,LGA1200,Micro ATX,128,4,Silver / Black
Gigabyte X670 AORUS ELITE AX (rev. 1.1),0.0,AM5,ATX,192,4,Black
Supermicro X10SL7-F,246.77,LGA1150,Micro ATX,32,4,Black / Green
ASRock Z690 Extreme WiFi 6E,0.0,LGA1700,ATX,128,4,Black / Blue
Asus H81M-E,0.0,LGA1150,Micro ATX,16,2,Black / Gold
ASRock H110M-HDV,0.0,LGA1151,Micro ATX,32,2,Black / Orange
Asus STRIX Z270H,0.0,LGA1151,ATX,64,4,Black / Silver
Asus TUF Z270 MARK 2,0.0,LGA1151,ATX,64,4,Black / Yellow
MSI Z270 PC MATE,0.0,LGA1151,ATX,64,4,Black / Silver
Gigabyte X470 AORUS GAMING 5 WIFI,0.0,AM4,ATX,64,4,Black / Orange
ASRock X570 PG Velocita,0.0,AM4,ATX,128,4,Black / Silver
Asus H170I-PRO,0.0,LGA1151,Mini ITX,32,2,Black / Gold
Gigabyte Z390 M GAMING,0.0,LGA1151,Micro ATX,128,4,Black / Red
Asus P7H55-M Pro,0.0,LGA1156,Micro ATX,16,4,Black / Blue
Gigabyte GA-H61M-S2PV(R2.0),0.0,LGA1155,Micro ATX,16,2,Blue / White
Asus Sabertooth Z77,0.0,LGA1155,ATX,32,4,Brown / Black
Asus ROG MAXIMUS VIII HERO ALPHA,0.0,LGA1151,ATX,64,4,Black / Red
ASRock B360M-HDV,0.0,LGA1151,Micro ATX,32,2,Black / Silver
MSI MEG Z390 GODLIKE,0.0,LGA1151,EATX,128,4,Black
MSI MPG Z590 GAMING FORCE,0.0,LGA1200,ATX,128,4,Black
MSI MAG B760M MORTAR MAX WIFI,0.0,LGA1700,Micro ATX,192,4,Silver / Black
Asus TUF GAMING B450M-PRO S,0.0,AM4,Micro ATX,128,4,Black
Asus Maximus VI Hero,0.0,LGA1150,ATX,32,4,Unknown
Gigabyte GA-Z170X-Gaming 3,0.0,LGA1151,ATX,64,4,Black / Red
Gigabyte GA-B365M-H,0.0,LGA1151,Micro ATX,32,2,Black / Red
ASRock Z490 Phantom Gaming-ITX/TB3,0.0,LGA1200,Mini ITX,64,2,Black
MSI MAG B460 TORPEDO,249.9,LGA1200,ATX,128,4,Black
ASRock B560M Steel Legend,0.0,LGA1200,Micro ATX,128,4,Silver / Black
Asus WS X299 SAGE,518.36,LGA2066,SSI CEB,128,8,Black
Gigabyte Z490 AORUS ELITE,327.91,LGA1200,ATX,128,4,Black / Silver
Gigabyte Z690I AORUS ULTRA PLUS DDR4 (rev. 1.0),0.0,LGA1700,Mini ITX,64,2,Unknown
Asus TUF GAMING Z490-PLUS,0.0,LGA1200,ATX,128,4,Black
Gigabyte B660M AORUS ELITE AX DDR4,0.0,LGA1700,Micro ATX,128,4,Black
Gigabyte GA-H97M-D3H,0.0,LGA1150,Micro ATX,32,4,Black / Gold
Biostar AM1MH,0.0,AM1,Micro ATX,16,2,Black / Yellow
MSI H110M PRO-VH PLUS,0.0,LGA1151,Micro ATX,32,2,Brown
MSI B350I PRO AC,0.0,AM4,Mini ITX,32,2,Brown / Black
