name,price,socket,form_factor,max_memory,memory_slots,color
MSI MEG Z790 GODLIKE MAX,1196.99,LGA1700,EATX,192,4,Black
Gigabyte B650 AORUS ELITE AX V2,187.79,AM5,ATX,192,4,Black / Silver
ASRock A520M-HDV,66.98,AM4,Micro ATX,64,2,Black / Silver
MSI B450 Gaming Plus MAX,74.98,AM4,ATX,128,4,Red / Black
ASRock B550M-ITX/ac,129.99,AM4,Mini ITX,64,2,Silver / Black
ASRock B650 Steel Legend WiFi,179.99,AM5,ATX,192,4,White / Silver
Gigabyte A620I AX,139.99,AM5,Mini ITX,96,2,Black / Gray
Asus ROG STRIX Z690-E GAMING WIFI,230.99,LGA1700,ATX,192,4,Black
Asus PRIME X670-P WIFI,209.99,AM5,ATX,192,4,Silver / Black
MSI PRO B760M-P DDR4,99.99,LGA1700,Micro ATX,128,4,Black
Asus ROG CROSSHAIR X670E HERO,639.99,AM5,ATX,192,4,Black / Silver
Asus ROG STRIX Z790-E GAMING WIFI,359.99,LGA1700,ATX,192,4,Black
MSI MAG B760 TOMAHAWK WIFI,179.99,LGA1700,ATX,192,4,Black
Gigabyte H410M H V2,72.91,LGA1200,Micro ATX,64,2,Gray / Black
Asus TUF GAMING Z790-PLUS WIFI,229.99,LGA1700,ATX,192,4,Black / Gray
Asus ROG ZENITH II EXTREME ALPHA,0.0,sTRX4,EATX,256,8,Black / Silver
ASRock X670E Steel Legend,259.99,AM5,ATX,192,4,Black / White
Gigabyte B550I AORUS PRO AX,189.99,AM4,Mini ITX,64,2,Black / Silver
Gigabyte B650M D3HP AX,134.99,AM5,Micro ATX,192,4,Black / Gray
Gigabyte B760M DS3H AX,139.99,LGA1700,Micro ATX,192,4,Black
Gigabyte B550M DS3H AC,108.99,AM4,Micro ATX,128,4,Black
Gigabyte Z790 AORUS ELITE X WIFI7,279.99,LGA1700,ATX,192,4,Black
Asus PRIME Z790-P WIFI,189.99,LGA1700,ATX,192,4,Black / Silver
NZXT N7 B650E,249.99,AM5,ATX,128,4,Black
Asus ProArt X670E-CREATOR WIFI,424.99,AM5,ATX,192,4,Black / Copper
MSI B450 TOMAHAWK MAX,0.0,AM4,ATX,128,4,Black
Gigabyte X670 AORUS ELITE AX (rev. 1.0),269.99,AM5,ATX,192,4,Black
ASRock A620M Pro RS WiFi,177.85,AM5,Micro ATX,192,4,Silver / Black
ASRock B450M PRO4 R2.0,80.15,AM4,Micro ATX,128,4,Gray / Black
MSI PRO H610M-G WIFI DDR4,99.0,LGA1700,Micro ATX,64,2,Black / Silver
ASRock H610M-HVS,69.98,LGA1700,Micro ATX,64,2,Gray / Black
MSI MPG Z790 EDGE TI MAX WIFI,299.99,LGA1700,ATX,192,4,Silver / Black
ASRock B650E PG RIPTIDE WIFI,189.99,AM5,ATX,192,4,Black / Blue
MSI B650M GAMING PLUS WIFI,0.0,AM5,Micro ATX,192,4,Silver / Black
ASRock Z690 Extreme,129.99,LGA1700,ATX,128,4,Black / Silver
Gigabyte Z790 EAGLE AX,183.94,LGA1700,ATX,192,4,Gray / Black
Gigabyte B650E AORUS ELITE X AX ICE,249.99,AM5,ATX,192,4,Silver / White
Gigabyte B550M DS3H,89.0,AM4,Micro ATX,128,4,Black / Gold
Asus ROG STRIX B650E-E GAMING WIFI,331.14,AM5,ATX,192,4,Black
Gigabyte B760 GAMING X AX,169.99,LGA1700,ATX,192,4,Black / Gray
