name,price,configuration,wattage,frequency_response,color
Edifier R33BT,63.99,2.0,10.0,7020.0,Black
Creative Labs GigaWorks T40 Series II,91.99,2.0,32.0,5020.0,Unknown
Logitech Z120,0.0,2.0,0.0,0.0,Unknown
Micca MB42X,89.99,2.0,150.0,6020.0,Unknown
Edifier S880DB,0.0,2.0,20.0,5520.0,White / Brown
Trust GXT 606 JAVV,0.0,2.0,6.0,16020.0,Gray / Black
Yamaha HS5 W,199.99,1.0,70.0,5430.0,Unknown
Bose Companion 5,0.0,2.1,0.0,0.0,Black / Gray
Creative Labs Stage 360,149.99,2.1,180.0,5020.0,Black
Harman Kardon SoundSticks Wireless,399.0,2.1,40.0,4420.0,Unknown
Yamaha HS8 W,398.99,1.0,120.0,3830.0,Unknown
Creative Labs Pebble V3,0.0,2.0,16.0,10017.0,White / Copper
AmazonBasics V620,0.0,2.0,2.4,8020.0,Silver
Audioengine A2+W,0.0,2.0,60.0,6522.0,Unknown
Audioengine HD3-WHT,349.0,2.0,60.0,6522.0,White / Black
Creative Labs SBS E2900,79.98,2.1,60.0,5020.0,Black
Logitech S120,0.0,2.0,2.3,5020.0,Unknown
Lenovo M0520,16.98,2.0,2.0,9020.0,Unknown
Razer Nommo,0.0,2.0,0.0,5020.0,Black
Harman Kardon SoundSticks III,0.0,2.1,40.0,4420.0,Unknown
KRK RP5 G2,0.0,2.0,90.0,5220.0,Unknown
Edifier S760D,0.0,5.1,540.0,4220.0,Black / Silver
Audioengine A2+R,439.48,2.0,60.0,6522.0,Unknown
SteelSeries Arena 7 EU,0.0,2.1,0.0,3520.0,Black
Pioneer DM-50D-BT,0.0,2.0,50.0,6020.0,Black
Micca COVO-S,49.99,2.0,100.0,9020.0,Unknown
Micca MB42,69.98,2.0,150.0,6020.0,Unknown
Sony BSP10,64.95,1.0,20.0,0.0,Unknown
Mackie CR5-XBT,199.99,2.0,80.0,5020.0,Green / Black
Audioengine A2 (Black),0.0,2.0,60.0,6522.0,Unknown
ADAM Audio A7X,0.0,1.0,300.0,4250.0,Black
SteelSeries Arena 7 UK,0.0,2.1,0.0,3520.0,Black
Cyber Acoustics CA-2002,0.0,2.0,6.0,27018.0,Unknown
KRK VXT 8,0.0,2.0,360.0,3722.0,Unknown
Edifier R19U,0.0,2.0,4.0,15020.0,Unknown
Mackie CR4-XBT,0.0,2.0,50.0,6020.0,Black / Green
Audioengine A5+ Bamboo,0.0,2.0,100.0,5022.0,Unknown
Logitech THX Z-5300e,0.0,5.1,280.0,3520.0,Unknown
Bose Companion 20,0.0,2.0,0.0,0.0,Unknown
KEF LSXWH,0.0,2.0,200.0,4947.0,White / Black
SteelSeries Arena 7 AU,0.0,2.1,0.0,3520.0,Black
Trust GXT 612 CETIC,0.0,2.0,10.0,2020.0,Black
Micca PB42X,139.94,2.0,30.0,6020.0,Black
IK Multimedia IP-ILOUD-MM-IN,349.99,2.0,70.0,4522.0,Black
Edifier S550,0.0,5.1,280.0,2020.0,Unknown
Logitech Z-5500,0.0,5.1,505.0,3320.0,Unknown
Mackie CR3,0.0,2.0,50.0,8020.0,Unknown
Creative Labs Inspire T6300,0.0,5.1,57.0,5020.0,Black
Kanto YU2GW,0.0,2.0,50.0,8020.0,White / Black
Syba CL-SPK20069,0.0,2.0,3.4,28016.0,Unknown
Logitech X-530,0.0,5.1,70.1,4020.0,Unknown
Mackie MR824,279.99,1.0,85.0,3520.0,Black
Klipsch Reference R-14PM,0.0,2.0,70.0,8020.0,Black / Brown
JBL Pebbles,0.0,2.0,0.0,7020.0,Black / Red
Audioengine HD3-WAL,0.0,2.0,60.0,6522.0,Brown / Black
Fluance Ai60 Black Ash,0.0,2.0,100.0,3530.0,Black / Beige
SteelSeries Arena 3 EU,0.0,2.0,0.0,5020.0,Black
Logitech X-140,0.0,2.0,4.0,8018.0,Unknown
Cyber Acoustics CA-3602,0.0,2.1,30.0,5020.0,Unknown
