name,price,style,switches,backlit,tenkeyless,connection_type,color
Logitech MK200,17.27,Slim,Unknown,Unknown,FALSE,Wired,Black
DROP CTRL,340.17,Gaming,Cherry MX Brown,RGB,TRUE,Wired,Silver / Black
Redragon S101,39.99,Gaming,Unknown,Unknown,FALSE,Wired,Black / Red
Asus ROG CLAYMORE II,243.99,Gaming,ROG RX Blue Optical,RGB,FALSE,Wireless,Black
Happy Hacking Professional 2,0,Standard,Topre 45g,Unknown,TRUE,Wired,White
Razer Huntsman V3 Pro Mini,179.99,Mini,Razer Analog Optical Switch Gen-2,RGB,TRUE,Wired,Black
Keychron Q1 Pro,199.99,Standard,Keychron K Pro Red,RGB,TRUE,"Wired, Wireless, Bluetooth Wireless",Black
Corsair K55 RGB PRO XT,79.99,Gaming,Unknown,RGB,FALSE,Wired,Black
Razer BlackWidow Lite,49.95,Gaming,Razer Orange,White,TRUE,Wired,Black
Logitech G19s,699.06,Gaming,Unknown,Unknown,FALSE,Wired,Black
Razer Huntsman Mini,89,Mini,Razer Red Optical Linear,RGB,TRUE,Wired,White
Logitech Wireless Combo MK270,22.99,Standard,Unknown,Unknown,FALSE,Wireless,Black
Keychron K2 V2 Aluminum,99.99,Standard,Gateron G Pro Brown,RGB,TRUE,Wireless,Black / Gray
Logitech PRO X,179.99,Gaming,Logitech GX Blue Clicky,RGB,TRUE,"Wired, Wired, Wireless, Bluetooth Wireless",Black
Corsair K65 RGB MINI,109.99,Mini,Cherry MX Brown,RGB,TRUE,Wired,Black
Corsair K65 RGB MINI,79.99,Mini,Cherry MX Speed Silver,RGB,TRUE,Wired,White
Logitech K400 Plus,26.99,Mini,Unknown,Unknown,TRUE,Wireless,Black / Yellow
SteelSeries Apex 3,49.99,Gaming,Unknown,RGB,FALSE,Wired,Black
Corsair K70 PRO MINI,107.98,Mini,Cherry MX Red,RGB,TRUE,"Wired, Wireless, Bluetooth Wireless",White
Whirlwind FX Element V2,34.99,Gaming,Gateron Red,RGB,FALSE,Wired,Black
MSI Vigor GK30,34,Gaming,Unknown,RGB,FALSE,Wired,Black
RK Royal Kludge RK61,49.99,Mini,RK Brown,White,TRUE,"Wired, Wireless, Bluetooth Wireless",White
Logitech G815 Lightsync RGB,167.99,Gaming,GL Tactile,RGB,FALSE,Wired,Black
Razer BlackWidow V3,89.99,Gaming,Razer Yellow,RGB,TRUE,Wired,Black
Corsair K95 RGB PLATINUM,297.47,Gaming,Cherry MX Speed Silver,RGB,FALSE,Wired,Gunmetal
Wooting One,0,Gaming,Flaretech Red,RGB,TRUE,Wired,Black
Razer BlackWidow V4 75%,185.51,Mini,Razer Orange,RGB,TRUE,Wired,Black
Asus ROG Strix Flare II Animate,179.99,Gaming,ROG NX Red,RGB,FALSE,Wired,Black
Ducky One 2 Mini,0,Standard,Cherry MX Brown,RGB,TRUE,Wired,White / Black
MSI Vigor GK30,54.99,Gaming,Unknown,RGB,FALSE,Wired,White
MSI VigorGK30W,63.05,Gaming,Unknown,RGB,FALSE,Wired,White
Logitech G510s,613.98,Gaming,Unknown,Multicolor,FALSE,Wired,Black
Corsair K70 RGB MK.2,278,Gaming,Cherry MX Brown,RGB,FALSE,Wired,Black
Logitech G915 TKL,158.19,Gaming,GL Linear,RGB,TRUE,"Wired, Wireless, Bluetooth Wireless",Black
Razer Huntsman V2 Analog,109.99,Gaming,Razer Analog Optical,RGB,FALSE,Wired,Black
Razer Blackwidow V3 - Quartz,139.99,Gaming,Razer Green,RGB,FALSE,Wired,Pink
Logitech G915 Lightspeed,169.99,Gaming,Logitech GL Linear,RGB,FALSE,Wireless,Black
SteelSeries Apex 7,148,Gaming,SteelSeries QX2 Red,RGB,FALSE,Wired,Black
HP HyperX Alloy Elite 2,128.94,Gaming,HyperX Red,RGB,FALSE,Wired,Black
Cooler Master SK620,29.99,Gaming,TTC Red,RGB,TRUE,Wired,Gray / Black
Corsair K70 CORE,79.59,Gaming,Corsair MLX Red Linear,RGB,FALSE,Wired,Black
E-element Z88RGB81WRZ,34.99,Mini,Outemu Blue,Multicolor,TRUE,Wired,White
Razer BlackWidow V4 75%,189.99,Mini,Razer Orange,RGB,TRUE,Wired,White
Logitech G710 Plus,274.85,Gaming,Cherry MX Brown,White,FALSE,Wired,Black
AmazonBasics KU-0833 +MSU0939,20.83,Standard,Unknown,Unknown,FALSE,Wired,Black
Corsair K55 CORE RGB,39.99,Gaming,Unknown,RGB,FALSE,Wired,Black
ROCCAT Vulcan 121 Aimo RGB,39.99,Gaming,Roccat Titan Red,RGB,FALSE,Wired,Black
Corsair K68 RGB,169,Gaming,Cherry MX Red,RGB,FALSE,Wired,Black
SteelSeries Apex Pro TKL (2023),0,Gaming,SteelSeries OmniPoint 2.0,RGB,TRUE,"Wired, Wireless, Bluetooth Wireless",Black
SHARKOON Skiller,0,Gaming,Unknown,Unknown,FALSE,Wired,Black
Razer Cynosa Lite,28.64,Gaming,Unknown,RGB,FALSE,Wired,Black
Corsair K70 PRO MINI,98.13,Mini,Cherry MX Red,RGB,TRUE,"Wired, Wireless, Bluetooth Wireless",Black
Logitech K120 - UK Layout,0,Standard,Unknown,Unknown,FALSE,Wired,Black
Redragon K512 SHIVA RGB,36.99,Gaming,Unknown,RGB,FALSE,Wired,Black
Cooler Master SK620,24.95,Gaming,TTC Red,RGB,TRUE,Wired,Silver / White
NZXT Function 2,109.99,Gaming,NZXT Swift Optical 40g,RGB,FALSE,"Wired, Wired",White
Keychron C1 Pro V1,59.99,Standard,Keychron K Pro Red,White,TRUE,Wired,Black / Gray
Razer Huntsman Tournament Edition,0,Gaming,Razer Red Optical Linear,RGB,TRUE,Wired,Black
Logitech MX Mechanical,164.97,Slim,Kailh Choc V2 Brown,White,FALSE,Wireless,Gray / Black
Asus ROG Falchion Ace,89.99,Gaming,ROG NX Red,RGB,TRUE,Wired,White
HP HyperX Alloy Origins 60,99.99,Gaming,HyperX Red,RGB,TRUE,Unknown,Black
Corsair STRAFE RGB,249.99,Gaming,Cherry MX Silent,RGB,FALSE,Wired,Black / White
Razer Cynosa V2,39.99,Gaming,Unknown,RGB,FALSE,Wired,Black
