name,price,style,switches,backlit,tenkeyless,connection_type,color
Dell 468-7408 Keyboard,0,Standard,Unknown,Unknown,FALSE,Wired,Black
Happy Hacking Professional 2,0,Mini,Topre 45g,Unknown,TRUE,Wired,Gray
Cooler Master CM Storm QuickFire TK,0,Gaming,Cherry MX Blue,Blue,FALSE,Wired,Black
Logitech MK120-TAA,0,Standard,Unknown,Unknown,FALSE,Wired,Black
Dell KB212-B,0,Ergonomic,Unknown,Unknown,FALSE,Wired,Black
Logitech G15,0,Standard,Unknown,Red,FALSE,Wired,Black / Gray
Corsair Raptor K30,0,Gaming,Unknown,Red,FALSE,Wired,Black / Silver
Perixx PERIBOARD-512B,0,Ergonomic,Unknown,Unknown,FALSE,Wired,Black
Corsair K70 RGB,0,Gaming,Cherry MX Brown,RGB,FALSE,Wired,Black
Corsair K70,0,Gaming,Cherry MX Red,Red,FALSE,Wired,Black
G.Skill RIPJAWS KM780 RGB,0,Gaming,Cherry MX Brown,RGB,FALSE,Wired,Black
Cooler Master MasterKeys Pro S,0,Standard,Cherry MX Brown,RGB,TRUE,Wired,Black
Logitech G610,0,Gaming,Cherry MX Brown,White,FALSE,Wired,Black
Razer Tartarus Chroma Expert,0,Gaming,Unknown,RGB,FALSE,Wired,Black
Cooler Master Lite L,0,Gaming,Unknown,RGB,FALSE,Wired,Black
SHARKOON Skiller Pro Plus,0,Gaming,Unknown,Multicolor,FALSE,Wired,Black
Asus ROG Claymore,0,Gaming,Cherry MX Brown,RGB,FALSE,Wired,Black
Gigabyte FORCE K83,0,Standard,Cherry MX Red,Unknown,FALSE,Wired,Black
Corsair K95 RGB,0,Standard,Cherry MX Brown,RGB,FALSE,Wired,Black
Corsair K66,0,Gaming,Cherry MX Red,Unknown,FALSE,Wired,Black
HP HyperX Alloy Elite RGB,0,Gaming,Cherry MX Red,RGB,FALSE,Wired,Black
Happy Hacking Professional,0,Mini,Topre 45g,Unknown,TRUE,Bluetooth Wireless,Black
Topre Realforce RGB,0,Gaming,Topre 45g,RGB,FALSE,Wired,Black
Cooler Master MK850,0,Gaming,Cherry MX Red,RGB,FALSE,Wired,Black
Adesso AKB-138EB,33.02,Gaming,Unknown,RGB,FALSE,Wired,Black
DROP CTRL,0,Gaming,Kailh Silver Speed,RGB,TRUE,Wired,Silver / Black
Ducky Shine 7 Blackout RGB,0,Gaming,Cherry MX Blue,RGB,FALSE,Wired,Black
Leopold FC750R Black PD,0,Standard,Cherry MX Red,Unknown,FALSE,Wired,Black
RK Royal Kludge RK71,0,Gaming,RK Blue,RGB,TRUE,Bluetooth Wireless,White
Das Keyboard 4Q,199,Gaming,Cherry MX Brown,RGB,FALSE,Wired,Black
Logitech G715,0,Gaming,GX Red,RGB,TRUE,"Wired, Wireless, Bluetooth Wireless",White
Keychron V6 QMK Knob,0,Standard,Keychron K Pro Red,Unknown,FALSE,"Wired, Wired",Translucent Black
Keychron K8,0,Standard,Gateron Red Optical Hot-swappable,RGB,TRUE,"Wired, Bluetooth Wireless",Black / Gray
Keychron K8,0,Standard,Gateron G Pro Blue Hot-swappable,RGB,TRUE,"Wired, Bluetooth Wireless",Black / Gray
Ducky ONE 3,0,Gaming,Cherry MX Blue RGB,RGB,FALSE,Wired,Black
Ducky ONE 3,0,Gaming,Cherry MX Speed Silver RGB,RGB,FALSE,Wired,Black
Ducky ONE 3,0,Gaming,Cherry MX Brown RGB,RGB,FALSE,Wired,Black
Ducky ONE 3 AURA,129,Gaming,Cherry MX Brown RGB,RGB,FALSE,Wired,Black
Keychron Q1 Pro,0,Standard,Keychron K Pro Red,RGB,TRUE,"Wired, Wireless, Bluetooth Wireless",Silver / Gray
Keychron K3 Max,0,Standard,Gateron Low-Profile Brown,White,TRUE,"Wired, Bluetooth Wireless",Gray
Keychron K5 Pro,114.99,Gaming,Gateron Low-Profile Blue,RGB,FALSE,"Wired, Bluetooth Wireless",White
Cooler Master CK550 V2,97,Gaming,TTC Blue,RGB,FALSE,Wired,Black
Asus ROG Strix Scope,0,Gaming,ROG NX Red,RGB,TRUE,"Wired, Wireless, Bluetooth Wireless",Unknown
Logitech K380,49,Standard,Unknown,Unknown,TRUE,Bluetooth Wireless,Gray
Corsair K65 PLUS,0,Gaming,Corsair MLX Red Linear,RGB,TRUE,"Wired, Wireless",Black
NZXT Function 2,0,Gaming,NZXT Swift Optical 40g,RGB,TRUE,"Wired, Wired",White
IQUNIX ZX75 Dark Side RS,189.99,Gaming,IQUNIX Moonstone Turbo,RGB,TRUE,"Wired, Wireless, Bluetooth Wireless",Translucent Black
IQUNIX ZX75 Dark Side,189.99,Gaming,IQUNIX Moonstone,RGB,TRUE,"Wired, Wireless, Bluetooth Wireless",Black
ENDORFY Thock,0,Gaming,Kailh Brown,RGB,TRUE,Wired,Black
Cooler Master CK720 US,82.55,Gaming,Kailh Box Red V2,RGB,TRUE,Wired,Gray / Black
A4Tech 9300F,0,Ergonomic,Unknown,Unknown,FALSE,Wireless,Black
Microsoft Comfort Desktop 5050,0,Ergonomic,Unknown,Unknown,FALSE,Wireless,Black
V7 CKU200US,27.2,Standard,Unknown,Unknown,FALSE,Wired,Black
Logitech K845,0,Standard,Cherry MX Blue,White,FALSE,Wired,Black
Razer DeathStalker V2,199.99,Gaming,Razer Purple Low-Profile Optical Clicky,RGB,FALSE,Wired,Black
Keychron K3 Max,109.99,Standard,Gateron Low-Profile Red,RGB,TRUE,"Wired, Bluetooth Wireless",Gray
Cherry G80-8113LUVEU-2,299,Standard,Unknown,Unknown,FALSE,Wired,Black
Logitech G915 Lightspeed,0,Gaming,Logitech GL Tactile,RGB,FALSE,"Wireless, Bluetooth Wireless",Black
Cooler Master SK622,76.63,Gaming,TTC Blue Low Profile,RGB,TRUE,"Wired, Bluetooth Wireless",White / Silver
Lenovo Preferred Pro,44.99,Standard,Unknown,Unknown,FALSE,Wired,Black
i-rocks RF-6577L-BK,24.99,Slim,Unknown,Unknown,FALSE,Wireless,Black / Silver
Corsair K70 RAPIDFIRE,99.99,Gaming,Cherry MX Speed Silver,Red,FALSE,Wired,Black
Logitech K780,59.99,Slim,Unknown,Unknown,FALSE,Wireless,Black
Corsair K83,0,Standard,Unknown,White,TRUE,Wireless,Gray
Adesso AKB-636UB,0,Standard,Kailh Blue,Unknown,FALSE,Wired,Black
Tempest Diablo,0,Gaming,Content Red,RGB,FALSE,Wired,Black
Asus ROG Strix Flare II,169.99,Gaming,ROG NX Brown,RGB,FALSE,Wired,Black
Targus AKB864US,33.34,Slim,Unknown,Unknown,FALSE,Bluetooth Wireless,Black
SteelSeries Apex Pro Mini Wireless,0,Gaming,SteelSeries OmniPoint 2.0,RGB,TRUE,"Wireless, Bluetooth Wireless",Black
IQUNIX F97 Hitchhiker,239.99,Gaming,IQUNIX Moonstone Turbo,RGB,FALSE,"Wired, Wireless, Bluetooth Wireless",White / Gray
IQUNIX OG80 Dark Side,159.99,Gaming,IQUNIX Moonstone,RGB,TRUE,"Wired, Wireless, Bluetooth Wireless",Black
SolidTek KB-730BU,65,Mini,Unknown,Unknown,FALSE,Wired,Black
SIIG JK-US0012-S1,11.99,Standard,Unknown,Unknown,FALSE,Wired,Black
Filco Ninja Majestouch-2,134.8,Standard,Cherry MX Red,Unknown,FALSE,Wired,Black
A4Tech KD-126,22.99,Standard,Unknown,Blue,FALSE,Wired,Black
Thermaltake POSEIDON ZX,0,Standard,Kailh Blue,Blue,TRUE,Wired,Black
Thermaltake Knucker Team DK Edition,34.98,Gaming,Unknown,Unknown,FALSE,Wired,Red / White
SMK-Link VP3810,19.98,Standard,Unknown,Unknown,FALSE,Wired,Black
Microsoft Sculpt Ergonomic Desktop,0,Ergonomic,Unknown,Unknown,FALSE,Wireless,Black
Lenovo Preferred Pro II,27.68,Standard,Unknown,Unknown,FALSE,Wired,Black
HP Pavilion 500,138.97,Gaming,Gateron Red,Multicolor,FALSE,Wired,Black
Logitech K845,0,Standard,Cherry MX Red,White,FALSE,Wired,Black
Cooler Master SK653,110.34,Gaming,TTC Red Low Profile,RGB,FALSE,Bluetooth Wireless,White / Silver
Asus ROG Strix Scope RX EVA Edition,0,Gaming,ROG RX Blue Optical,RGB,FALSE,Wired,Purple / Green
Corsair K60 RGB Pro,0,Gaming,Corsair OPX,RGB,TRUE,Wired,Black
Kinesis Gaming Freestyle2 Blue,99,Ergonomic Split,Unknown,Unknown,TRUE,"Wired, Bluetooth Wireless",Black
Keychron C2 Pro V1,0,Standard,Keychron K Pro Red,RGB,FALSE,Wired,Black / Gray
Ducky ONE 3,0,Gaming,Cherry MX Blue RGB,RGB,FALSE,Wired,Gray / White
Corsair K70 CORE,0,Gaming,Corsair MLX Red Linear,RGB,FALSE,Wired,Black
SteelSeries Apex Pro TKL (2023),0,Gaming,SteelSeries OmniPoint 2.0,RGB,TRUE,Wired,Black
Keychron K17 Pro,0,Standard,Gateron Low-Profile Red (Hot-Swappable),RGB,FALSE,"Wired, Bluetooth Wireless",Black / Red
Razer Ornata V3,0,Gaming,Unknown,RGB,FALSE,Wired,Black
Razer Ornata V3,0,Gaming,Unknown,RGB,TRUE,Wired,Black
Corsair K55 CORE RGB,0,Gaming,Unknown,RGB,FALSE,Wired,Black
Cooler Master CK530 V2,73.31,Gaming,TTC Blue,RGB,TRUE,Wired,Black
AZIO IZO,98.89,Standard,Gateron Red,Unknown,TRUE,"Wired, Bluetooth Wireless",Black / Gray
iKBC CD87 V2,76.98,Standard,Cherry MX Blue,Unknown,TRUE,Wired,Black
SteelSeries Apex 3 (2020),105.46,Gaming,Unknown,RGB,FALSE,Wired,Black
ENDORFY Thock,0,Gaming,Kailh Red,RGB,TRUE,Wired,Black
ENDORFY Thock,0,Gaming,Kailh Blue,RGB,TRUE,Wired,Black
Wintec FileMate Imagine K2210,0,Standard,Unknown,Unknown,FALSE,Wired,Orange / White
Razer Lycosa,0,Gaming,Unknown,Blue,FALSE,Wired,Black
Kensington 64370,16.99,Standard,Unknown,Unknown,FALSE,Wired,Black
Microsoft Natural Keyboard Elite,269.95,Ergonomic,Unknown,Unknown,FALSE,Wired,Black
Microsoft B2L-00002,212.92,Ergonomic,Unknown,Unknown,FALSE,Wired,Black
Adesso AKB-131HB,19.98,Standard,Unknown,Unknown,FALSE,Wired,Black
Razer BlackWidow Ultimate Battlefield 3 Edition,0,Gaming,Cherry MX Blue,Orange,FALSE,Wired,Black
SteelSeries 6Gv2,0,Standard,Cherry MX Black,Unknown,FALSE,Wired,Black
Dell 0DJ415,0,Standard,Unknown,Unknown,FALSE,Wired,Black
Microsoft L2 Sculpt Comfort Keyboard,0,Ergonomic,Unknown,Unknown,FALSE,Wireless,Black
HP B1T09AT#ABA,23.56,Standard,Unknown,Unknown,FALSE,Wired,Black
Samsung Keyboard,0,Slim,Unknown,Unknown,TRUE,Bluetooth Wireless,Black
Razer Nostromo,0,Gaming,Unknown,Blue,TRUE,Wired,Black
matias Laptop Pro for Mac,0,Mini,ALPS White,Unknown,TRUE,Wired,Black / Silver
A4Tech KRS-85,0,Standard,Unknown,Unknown,FALSE,Wired,Black
Adesso AKB-132PB,13.99,Standard,Unknown,Unknown,FALSE,Wired,Black
Corsair Vengeance K70,0,Gaming,Cherry MX Blue,Red,FALSE,Wired,Black
Razer Blackwidow Ultimate 2014,0,Gaming,Razer Green,Green,FALSE,Wired,Black
Razer Blackwidow Ultimate 2014 Stealth Edition,0,Gaming,Razer Orange,Green,FALSE,Wired,Black
Cooler Master CM Storm Devastator Gaming Bundle,0,Gaming,Unknown,Red,FALSE,Wired,Black
Topre Realforce 104UG High Profile,0,Standard,Topre 45g,Unknown,FALSE,Wired,Black / Gray
Corsair K70 RGB,0,Gaming,Cherry MX Red,RGB,FALSE,Wired,Black
Corsair K95,0,Gaming,Cherry MX Red,White,FALSE,Wired,Black
Corsair K95 RGB,0,Gaming,Cherry MX Red,RGB,FALSE,Wired,Black
Thermaltake CHALLENGER PRIME,0,Gaming,Unknown,Multicolor,FALSE,Wired,Black
ROCCAT RYOS TKL PRO,0,Gaming,Cherry MX Brown,Blue,TRUE,Wired,Beige / Gray
BlueFinger CM200,0,Gaming,Unknown,Multicolor,FALSE,Wired,Black
Corsair STRAFE,0,Gaming,Cherry MX Blue,Red,FALSE,Wired,Black
Logitech K380,0,Mini,Unknown,Unknown,TRUE,Bluetooth Wireless,Blue
Xtrfy XG1-R-LED-UK,0,Standard,Cherry MX Red,White,FALSE,Wired,Black
Razer Blackwidow X Chroma,0,Gaming,Razer Green,RGB,FALSE,Wired,Black
Corsair STRAFE MX Silent,0,Gaming,Cherry MX Silent,Red,FALSE,Wired,Black
1STPLAYER FIRE ROSE MK3,0,Gaming,Outemu Blue,RGB,FALSE,Wired,White
ROCCAT Skeltr,0,Gaming,Unknown,RGB,FALSE,Wired,White
HP HyperX Alloy FPS,0,Standard,Cherry MX Red,Red,FALSE,Wired,Black
Trust GXT 280,0,Gaming,Unknown,Multicolor,FALSE,Wired,Black
Genius SlimStar 130,0,Standard,Unknown,Unknown,FALSE,Wired,Black
Razer Blackwidow Tournament Edition Stealth,0,Gaming,Razer Orange,White,TRUE,Wired,Black
Logitech MK520,39.47,Slim,Unknown,Unknown,FALSE,Wireless,Black
HP HyperX Alloy Elite,0,Gaming,Cherry MX Brown,Red,FALSE,Wired,Black
HP HyperX Alloy Elite RGB,0,Gaming,Cherry MX Blue,RGB,FALSE,Wired,Black
Tesoro Gram Spectrum (White w/Blue Switches),0,Gaming,Tesoro Agile Blue,RGB,FALSE,Wired,White
Logitech G512 CARBON,0,Gaming,Romer-G Linear,RGB,FALSE,Wired,Black
Ducky One 2 Mini,0,Standard,Cherry MX Black,RGB,TRUE,Wired,White / Black
Ducky One 2 RGB,0,Standard,Cherry MX Brown,RGB,FALSE,Wired,Black
Cooler Master CK530,140.69,Gaming,Gateron Brown,RGB,TRUE,Wired,Black
Redragon K551-R,0,Gaming,Outemu Blue,RGB,FALSE,Wired,Black
Drevo Tyrfing V2,0,Gaming,Outemu Black,RGB,FALSE,Wired,Black
Drevo BladeMaster PRO,0,Gaming,Cherry MX Silent Red,RGB,TRUE,Wireless,Gray
iKBC CD108,0,Gaming,Cherry MX Brown,Unknown,FALSE,Wired,Black
HP Business Slim,58.91,Slim,Unknown,Unknown,FALSE,Wired,Black
Thermaltake Tt eSports Meka Pro,94.98,Gaming,Cherry MX Blue,Red,FALSE,Wired,Black
DROP CTRL,0,Gaming,Kailh Halo Clear,RGB,TRUE,Wired,Silver / Black
Corsair K95 RGB PLATINUM XT,0,Gaming,Cherry MX Blue,RGB,FALSE,Wired,Black
Redragon K551-RGB,0,Gaming,Outemu Blue,RGB,FALSE,Wired,Black
Cherry MX BOARD 1.0 BACKLIGHT,0,Standard,Cherry MX Silent Red,White,FALSE,Wired,Black
Kinesis Gaming Freestyle Edge,199,Ergonomic Split,Cherry MX Red,RGB,TRUE,Wired,Black
Wooting Two Lekker Edition,0,Gaming,Lekker linear65,RGB,FALSE,Wired,Blue / White
Logitech G Pro X Shroud,0,Gaming,Logitech GX Red Linear,RGB,TRUE,Wired,Black
Corsair K65 RGB MINI WATERMELON BLAST,0,Gaming,Cherry MX Speed Silver,RGB,TRUE,Wired,Pink / Green
Corsair K65 RGB MINI HINT OF MINT,0,Gaming,Cherry MX Speed Silver,RGB,TRUE,Wired,Green / White
Razer BlackWidow V3 - BAPE Edition,0,Gaming,Razer Green,RGB,FALSE,Wired,Black / Green
Corsair K65 RGB MINI Pink Elixir,0,Gaming,Cherry MX Speed Silver,RGB,TRUE,Wired,Pink / White
Asus ROG Strix Scope,119.99,Gaming,ROG NX Brown,RGB,TRUE,Wired,White / Gray
Logitech MX KEYS MINI,0,Mini,Unknown,Unknown,TRUE,"Wired, Wireless, Bluetooth Wireless",Gray
Kinesis Gaming Freestyle2,89,Ergonomic Split,Unknown,Unknown,TRUE,Wired,Black
MSI ‎VIGOR GK71 SONIC BLUE,0,Gaming,MSI Sonic Blue,RGB,FALSE,Wired,Black
Razer BlackWidow V4 Pro,0,Gaming,Razer Green,RGB,FALSE,Wired,Black
Keychron K8,0,Standard,Gateron G Pro Brown Hot-swappable,White,TRUE,"Wired, Bluetooth Wireless",Black / Gray
Keychron K8,0,Standard,Gateron G Pro Red,RGB,TRUE,"Wired, Bluetooth Wireless",Black / Gray
Perixx PERIBOARD-106,0,Standard,Unknown,Unknown,FALSE,Wired,White
Cooler Master CK720 US,74.5,Gaming,Kailh Box Brown V2,RGB,TRUE,Wired,Gray / Black
Keychron C2 Pro V1,0,Standard,Keychron K Pro Brown,RGB,FALSE,Wired,Black / Gray
Ducky ONE 3 Daybreak,0,Gaming,Cherry MX Red RGB,RGB,FALSE,Wired,Blue
Keychron K6 Aluminum Frame,0,Standard,Gateron G Pro Red,RGB,TRUE,"Wired, Bluetooth Wireless",Black / Gray
Keychron Q1 Pro Special Edition,0,Standard,Keychron K Pro Banana,RGB,TRUE,"Wired, Wireless, Bluetooth Wireless",Black
Keychron K5 Pro,0,Gaming,Gateron Low-Profile Brown,White,FALSE,"Wired, Bluetooth Wireless",Black / Red
Keychron K7 Pro,119.99,Standard,Gateron Low-Profile Brown (Hot-Swappable),RGB,TRUE,"Wired, Bluetooth Wireless",Black / Red
Keychron K13 Pro,99.99,Standard,Gateron Low-Profile Brown,White,TRUE,"Wired, Bluetooth Wireless",Black / Red
Keychron K17 Pro,0,Standard,Gateron Low-Profile Brown (Hot-Swappable),RGB,FALSE,"Wired, Bluetooth Wireless",Black / Red
Corsair K55 CORE RGB,0,Gaming,Unknown,RGB,FALSE,Wired,Black
HP 450,44.01,Standard,Unknown,Unknown,FALSE,"Wired, Wireless",Black
Kensington K755,29.99,Standard,Unknown,Unknown,TRUE,"Wired, Wireless, Bluetooth Wireless",Black
Kensington K70316US,54.99,Standard,Unknown,Unknown,FALSE,Wired,Black
SteelSeries Apex 9 Mini,0,Gaming,SteelSeries OptiPoint Linear,RGB,TRUE,Wired,Black
SteelSeries Apex Pro Mini,0,Gaming,SteelSeries OmniPoint 2.0,RGB,TRUE,Wired,Black
Logitech K380,0,Standard,Unknown,Unknown,TRUE,Bluetooth Wireless,White
Logitech MX Keys,149,Mini,Unknown,Unknown,TRUE,"Wired, Wired, Wireless, Bluetooth Wireless",Unknown
Microsoft LXN-00001,0,Ergonomic,Unknown,Unknown,FALSE,Wired,Black
NZXT Function 2,0,Gaming,NZXT Swift Optical 40g,RGB,FALSE,"Wired, Wired",Black
NZXT Function 2,0,Gaming,NZXT Swift Optical 40g,RGB,TRUE,"Wired, Wired",White
NZXT Function 2,0,Gaming,NZXT Swift Optical 40g,RGB,TRUE,"Wired, Wired",Black
IQUNIX F97 Hitchhiker,0,Gaming,Cherry MX Red,RGB,FALSE,"Wired, Wireless, Bluetooth Wireless",White / Gray
IQUNIX F97 Hitchhiker,0,Gaming,Cherry MX Brown,Unknown,FALSE,"Wired, Wireless, Bluetooth Wireless",White / Gray
IQUNIX A80 Explorer,0,Gaming,Cherry MX Red,RGB,TRUE,"Wired, Wireless, Bluetooth Wireless",Black / Orange
Keychron V1 Max,0,Mini,Gateron Jupiter Banana,Unknown,TRUE,"Wired, Wired, Wireless, Bluetooth Wireless",Black / Blue
Cherry G84-4100LCMUS-0,69.98,Mini,Cherry ML,Unknown,FALSE,Wired,White
Rosewill BLITZ K50 RGB,69,Gaming,Outemu Blue,RGB,FALSE,Wired,Black / Silver
Microsoft 21Y-00001,37.99,Mini,Unknown,Unknown,TRUE,"Wired, Wireless, Bluetooth Wireless",Black
Microsoft B2M-00014,0,Ergonomic,Unknown,Unknown,FALSE,Wired,Black / Silver
Adesso WKB-1100CB,27.26,Mini,Unknown,Unknown,FALSE,Wireless,Black
Das Keyboard Model S Professional,129,Standard,Cherry MX Blue,Unknown,FALSE,Wired,Black
Asus ROG Falchion,149.99,Gaming,ROG NX Brown,RGB,TRUE,"Wired, Wireless",Black
HP 355,31.41,Standard,Unknown,Unknown,TRUE,Bluetooth Wireless,Black
SteelSeries Apex 9 TKL,0,Gaming,SteelSeries OptiPoint Linear,RGB,TRUE,Wired,Black
YEYIAN Flare 2000,45.99,Gaming,Outemu Blue,RGB,FALSE,Wired,Black
Kensington Pro Fit,26.64,Standard,Unknown,Unknown,FALSE,Wired,Black
Favi FE01-BL,28.99,Mini,Unknown,Unknown,TRUE,Wireless,Black
Perixx PERIBOARD-409H,0,Mini,Unknown,Unknown,FALSE,Wired,Black
Corsair K70 LUX RGB,0,Gaming,Cherry MX Silent,RGB,FALSE,Wired,Black
Kensington Pro Fit Ergo,39.82,Ergonomic,Unknown,Unknown,FALSE,Wireless,Black
ROCCAT Suora FX,0,Gaming,Cherry MX Brown,RGB,FALSE,Wired,Black
Logitech MK540 ADVANCED,0,Standard,Unknown,Unknown,FALSE,"Wired, Wireless",Black
Logitech POP Keys Blast,0,Mini,TTC Brown,Unknown,TRUE,"Wireless, Bluetooth Wireless",Yellow / Black
Cooler Master CK721,0,Gaming,TTC Red,RGB,TRUE,"Wired, Wireless, Bluetooth Wireless",Black / Gray
Cooler Master CK550 V2,149,Gaming,TTC Brown,RGB,FALSE,Wired,Black
Adesso AKB-139EB,31.96,Gaming,Unknown,Blue,FALSE,Wired,Black
YEYIAN Akil 3500,42.99,Standard,Outemu Red,RGB,TRUE,"Wired, Wired",Black
Corsair Vengeance K95,0,Gaming,Cherry MX Red,Blue,FALSE,Wired,Black
Adesso Waterproof Flex Keyboard,17.98,Slim,Unknown,Unknown,FALSE,Wired,Black
Das Keyboard 4 Professional,179,Standard,Cherry MX Blue,Unknown,FALSE,Wired,Black / Red
Kensington K72357USA,28.96,Slim,Unknown,Unknown,FALSE,Wired,Black
Das Keyboard 4 Professional for Mac,179,Standard,Cherry MX Brown,Unknown,FALSE,Wired,Black / Purple
Corsair STRAFE RGB,0,Gaming,Cherry MX Brown,RGB,FALSE,Wired,Black
Razer BlackWidow Tournament Edition Chroma,0,Gaming,Razer Green,RGB,TRUE,Wired,Black
Patriot Viper V760,0,Gaming,Kailh Brown,RGB,FALSE,Wired,Black
Ducky One 2 RGB,0,Standard,Cherry MX Speed Silver,RGB,FALSE,Wired,Black
Ducky One 2 (MX Brown),0,Gaming,Cherry MX Brown,Blue,FALSE,Wired,Black
Corsair K70 LUX (MX Red),0,Gaming,Cherry MX Red,Red,FALSE,Wired,Black
HP Slim,59.99,Slim,Unknown,Unknown,FALSE,Wireless,Black
Inland 70119,21.89,Standard,Unknown,Unknown,FALSE,Wireless,Black
ROCCAT Horde AIMO,67.98,Gaming,Unknown,RGB,FALSE,Wired,Gray
Kinesis Gaming Freestyle Edge,209,Ergonomic Split,Cherry MX Speed Silver,RGB,TRUE,Wired,Black
Cooler Master SK620,67.08,Gaming,TTC Brown,RGB,TRUE,Wired,Gray / Black
Cooler Master SK653,144.72,Gaming,TTC Blue Low Profile,RGB,FALSE,Bluetooth Wireless,White / Silver
Logitech G413 SE,0,Gaming,Kailh LT Brown,White,TRUE,Wired,Black
Logitech G715,0,Gaming,GX Brown,RGB,TRUE,"Wired, Wireless, Bluetooth Wireless",White
Keychron K1 SE,0,Standard,Keychron Optical Red Low Profile,RGB,TRUE,"Wired, Bluetooth Wireless",Black / Gray
Cooler Master CK720 US,99.99,Gaming,Kailh Box White V2,RGB,TRUE,Wired,Silver / White
Ducky ONE 3,0,Gaming,Cherry MX Red RGB,RGB,FALSE,Wired,Black
Ducky ONE 3 AURA,0,Gaming,Cherry MX Blue RGB,RGB,FALSE,Wired,Black
Razer Huntsman V3 Pro,0,Gaming,Razer Analog Optical Switch Gen-2,RGB,TRUE,Wired,Black
Razer Huntsman V3 Pro Mini,0,Mini,Razer Analog Optical Switch Gen-2,RGB,TRUE,Wired,Black
Keychron K3 Max,109.99,Standard,Gateron Low-Profile Brown,RGB,TRUE,"Wired, Bluetooth Wireless",Gray
Keychron K3 V2 Ultra-slim,84.99,Standard,Keychron Optical Brown Low Profile (Hot-Swappable),RGB,TRUE,"Wired, Wired, Bluetooth Wireless",Black / Gray
Corsair K55 CORE RGB,0,Gaming,Unknown,RGB,FALSE,Wired,Black
AZIO IZO,81.99,Standard,Gateron Red,Unknown,TRUE,"Wired, Bluetooth Wireless",Pink / White
Dell KM7120W,73.98,Standard,Unknown,Unknown,FALSE,"Wired, Wireless",Black / Gray
IOGEAR GKB740,44.99,Gaming,Unknown,RGB,FALSE,Wired,Black
SteelSeries Apex Pro Mini,0,Gaming,SteelSeries OmniPoint 2.0,RGB,TRUE,Wired,Black
Logitech K380,35.98,Standard,Unknown,Unknown,TRUE,Bluetooth Wireless,Pink
Logitech MK295 Silent,0,Standard,Unknown,Unknown,FALSE,"Wired, Wireless",Black
IQUNIX OG80 Wormhole,169.99,Gaming,TTC Gold Pink,RGB,TRUE,"Wired, Wireless, Bluetooth Wireless",White / Green
IQUNIX OG80 Dark Side,159.99,Gaming,IQUNIX Moonstone Turbo,RGB,TRUE,"Wired, Wireless, Bluetooth Wireless",Black
IQUNIX F97 Hitchhiker,0,Gaming,Cherry MX Red,RGB,FALSE,"Wired, Wireless, Bluetooth Wireless",White / Gray
Apple MB110LL/B,0,Standard,Unknown,Unknown,FALSE,Wired,White
Razer Blackwidow Ultimate Dragon Age II Edition,0,Gaming,Cherry MX Blue,Red,FALSE,Wired,Black
Razer BlackWidow Ultimate,0,Gaming,Cherry MX Blue,Blue,FALSE,Wired,Black
Microsoft SIDEWINDER X4,0,Gaming,Unknown,Red,FALSE,Wired,Black
Gear Head KB2500U,0,Slim,Unknown,Unknown,FALSE,Wired,Black
Microsoft 3XJ-00001,0,Ergonomic,Unknown,Unknown,FALSE,Wired,Black
Microsoft J9C-00001,258.38,Ergonomic,Unknown,Unknown,FALSE,Wired,Black / Silver
Acer Iconia Tab,0,Mini,Unknown,Unknown,TRUE,Bluetooth Wireless,Black
Cherry STREAM XT,0,Standard,Unknown,Unknown,FALSE,Wired,Black
KeyTronic KT400U1,0,Standard,Unknown,Unknown,FALSE,Wired,Beige
Adesso ACK-730B,0,Standard,Unknown,Unknown,FALSE,Wired,Black
Cooler Master Storm QuickFire Rapid,0,Gaming,Cherry MX Blue,Unknown,TRUE,Wired,Gray / Black
Logitech Wireless Combo MK260,0,Standard,Unknown,Unknown,FALSE,Wireless,Black
Logitech Wave Pro Desktop,218,Ergonomic,Unknown,Unknown,FALSE,Wireless,Black
Cherry G84-5400LUMEU-2,135.99,Slim,Cherry ML,Unknown,FALSE,Wired,Black
Dell 0DJ425,0,Standard,Unknown,Unknown,FALSE,Wired,Black
Mionix Zibal 60,0,Gaming,Cherry MX Black,Green,FALSE,Wired,Black
Unitech K595U-B Mini POS Keyboards,0,Mini,Unknown,Unknown,FALSE,Wired,Black
IOGEAR Smart Card Reader Keyboard (TAA Compliant),59,Standard,Unknown,Unknown,FALSE,Wired,Black
Cherry G80-11900 Series Compact Keyboard,0,Standard,Unknown,Unknown,FALSE,Wired,Gray
Buslink RF-6572L-WH,0,Standard,Unknown,Unknown,FALSE,Wireless,White
Motorola Wireless Keyboard With Trackpad,0,Mini,Unknown,Unknown,TRUE,Bluetooth Wireless,Black
SteelSeries 6GV/2,0,Standard,Cherry MX Red,Unknown,FALSE,Wired,Black
Filco Ninja Majestouch-2,0,Standard,Cherry MX Brown,Unknown,TRUE,Wired,Black
Happy Hacking Professional 2 Type S,0,Standard,Topre 45g Silent,Unknown,TRUE,Wired,White
Cooler Master CM Storm Quick Fire TK,0,Gaming,Cherry MX Red,Red,FALSE,Wired,Black
Cooler Master CM Storm QuickFire Stealth,0,Mini,Cherry MX Brown,Unknown,TRUE,Wired,Black
Corsair Raptor K50,0,Gaming,Unknown,RGB,FALSE,Wired,Black
Vortex POKER,0,Mini,Cherry MX Red,Unknown,TRUE,Wired,Black
