name,price,type,efficiency,wattage,modular,color
EVGA SuperNOVA 1600 G+,316.63,ATX,gold,1600,Full,Black
Thermaltake Toughpower GF A3 - TT Premium Edition,84.99,ATX,gold,650,Full,Black
EVGA SuperNOVA 650 G2,0.0,ATX,gold,650,Full,Unknown
Corsair HX750 Platinum,0.0,ATX,platinum,750,Full,Unknown
Thermaltake Toughpower GX1,0.0,ATX,gold,600,false,Black
EVGA SuperNOVA 850 G2,0.0,ATX,gold,850,Full,Unknown
EVGA 1000 GQ,129.99,ATX,gold,1000,Semi,Unknown
SeaSonic G12 GC,0.0,ATX,gold,850,false,Black / Blue
Asus TUF Gaming,0.0,ATX,bronze,750,false,Black
Thermaltake Toughpower SFX,175.48,SFX,gold,1000,Full,Black
Vetroo GV1000,119.99,ATX,gold,1000,Full,Black
SeaSonic PRIME TX-850,349.97,ATX,titanium,850,Full,Black
Thermaltake Toughpower GX3,89.99,ATX,gold,850,false,Black
Silverstone SX650-G,142.22,SFX,gold,650,Full,Unknown
FSP Group Hydro GE,79.98,ATX,gold,550,Full,Unknown
Asus TUF Gaming 1200G,204.08,ATX,gold,1200,Full,Black
Cooler Master MWE Bronze V2,0.0,ATX,bronze,450,false,Black
GAMDIAS KRATOS P1 G,79.98,ATX,gold,750,false,Black
Cooler Master G800,0.0,ATX,gold,800,false,Black
GameMax GP,0.0,ATX,bronze,400,false,Black
Silverstone SFX,95.38,SFX,bronze,450,false,Black
Deepcool PF550 230V,0.0,ATX,plus,550,false,Black
SeaSonic B12 BC,0.0,ATX,bronze,650,false,Unknown
NZXT C750 (2023),0.0,ATX,bronze,750,false,Black
be quiet! System Power 9,114.19,ATX,bronze,600,false,Black
Thermaltake Toughpower iRGB PLUS TT Premium Edition,0.0,ATX,titanium,1650,Full,Black
be quiet! Straight Power 11 850W,189.8,ATX,gold,850,Full,Unknown
be quiet! Pure Power 9 CM,203.24,ATX,bronze,600,Semi,Black
Corsair CX750M V2 (2017 Edition),174.71,ATX,bronze,750,Semi,Black / White
SeaSonic G12 GM,146.07,ATX,gold,650,Semi,Black / Blue
Thermaltake Smart BM2,0.0,ATX,bronze,650,Semi,Black
Thermaltake Toughpower GX1,67.12,ATX,gold,600,Semi,Black
SeaSonic PRIME PX-1600 ATX 3.0,472.99,ATX,platinum,1600,Full,Black / Silver
Azza PSAZ-750W,69.99,ATX,bronze,750,false,Black
Gigabyte UD-GM PG5,138.47,ATX,gold,750,Full,Black
Antec CSK,101.74,ATX,bronze,750,Semi,Black / Yellow
SeaSonic PRIME Fanless,332.89,ATX,titanium,700,Full,Black
Corsair CX450 (2017),0.0,ATX,bronze,450,false,Unknown
be quiet! Pure Power 11,0.0,ATX,gold,600,false,Black
Phanteks AMP v2,0.0,ATX,gold,1000,Full,White
Cougar POLAR,235.99,ATX,platinum,1200,Full,White
Deepcool PF700 230V,0.0,ATX,plus,700,false,Black
Thermaltake Smart,0.0,ATX,plus,430,false,Black / White
NZXT C650,0.0,ATX,bronze,650,Semi,Black
be quiet! Dark Power Pro 12,0.0,ATX,titanium,1200,Full,Black
Thermaltake Toughpower SFX,151.33,SFX,gold,850,Full,Black
Raidmax RX-530SS,49.99,ATX,Unknown,530,Semi,Unknown
Cooler Master V SFX Platinum,0.0,SFX,platinum,1300,Full,Black
Thermaltake Toughpower GF A3 ATX 3.0,0.0,ATX,gold,750,Full,Black
EVGA 550 BP,79.98,ATX,bronze,550,false,Black
Super Flower LEADEX VII XG,203.99,ATX,gold,1300,Full,Black
Corsair RM750x SHIFT,139.99,ATX,gold,750,Full / Side,White
SeaSonic PRIME 1300 Gold,199.99,ATX,gold,1300,Full,Black
KOLINK Classic Power,0.0,ATX,bronze,700,false,Black / Red
Cooler Master V650 V2,0.0,ATX,gold,650,Full,White
Corsair CX600M,0.0,ATX,bronze,600,Semi,Unknown
Corsair TX750M,0.0,ATX,gold,750,Semi,Black
EVGA SuperNOVA 750 G5,157.99,ATX,gold,750,Full,Black / Green
SeaSonic VERTEX GX-850,139.99,ATX,gold,850,Full,Black / Silver
Deepcool PF450 230V,0.0,ATX,plus,450,false,Black
SHARKOON WPM Gold Zero 550,0.0,ATX,gold,550,Semi,Black
EVGA SuperNOVA 550 G2,0.0,ATX,gold,550,Full,Unknown
Corsair RM850 (2019),189.54,ATX,gold,850,Full,Black
SeaSonic FOCUS,107.99,ATX,platinum,750,Full,Black
SeaSonic G12 GC,84.89,ATX,gold,550,false,Black / Blue
Corsair VS650 (2018),0.0,ATX,plus,650,false,Unknown
Cooler Master MWE Bronze,88.95,ATX,bronze,500,false,Black
SeaSonic PRIME PX-1300,0.0,ATX,platinum,1300,Full,Black
Fractal Design Ion Gold,177.7,ATX,gold,750,Full,Black
Corsair CX750,0.0,ATX,bronze,750,false,Unknown
SeaSonic PRIME TX-750,349.7,ATX,titanium,750,Full,Black
EVGA 750 B5,97.78,ATX,bronze,750,Full,Black
Asus TUF Gaming 1000G,0.0,ATX,gold,1000,Full,White
Cooler Master Elite V3,0.0,ATX,plus,600,false,Black
SeaSonic FOCUS,69.99,ATX,gold,550,Semi,Black
EVGA SuperNOVA 1000 P2,0.0,ATX,platinum,1000,Full,Unknown
KOLINK Modular Power,0.0,ATX,bronze,700,Semi,Black
Fractal Design Ion Gold,195.11,ATX,gold,850,Full,Black
Gigabyte AORUS P1200W,0.0,ATX,platinum,1200,Full,Black
EVGA SuperNOVA 550 GA,170.0,ATX,gold,550,Full,Black
Corsair RM650,204.99,ATX,gold,650,Full,Black
EVGA SuperNOVA 850 G6,0.0,ATX,gold,850,Full,Black
Silverstone ET500-ARGB,89.99,ATX,bronze,500,false,Black
Thermaltake Smart Pro RGB,179.0,ATX,bronze,650,Full,Unknown
Corsair AX850,0.0,ATX,titanium,850,Full,Black / Silver
SeaSonic G12 GM,106.33,ATX,gold,550,Semi,Black / Blue
EVGA SuperNOVA 850 GA,259.0,ATX,gold,850,Full,Black
Corsair RM550x,0.0,ATX,gold,550,Full,Unknown
Thermaltake Toughpower GF A3 ATX 3.0,0.0,ATX,gold,650,Full,Black
Deepcool PK700D,0.0,ATX,bronze,700,false,Black
Corsair HX1200i,499.0,ATX,platinum,1200,Full,Unknown
be quiet! Pure Power 11,0.0,ATX,gold,700,false,Black
Corsair CXM,155.0,ATX,bronze,750,Semi,Unknown
Corsair CX750F,216.06,ATX,bronze,750,Full,Black
Asus ROG Strix Aura Edition,169.99,ATX,gold,850,Full,Black
Fractal Design Ion SFX 650G,0.0,SFX,gold,650,Full,Black
NZXT C (2019),89.99,ATX,gold,650,Full,Black
Cooler Master MWE GOLD 650 V2 FULL MODULAR,0.0,ATX,gold,650,Full,Black
iTek GF EVO,0.0,ATX,gold,650,Full,Black
Thermaltake Toughpower TF1 - TT Premium,499.99,ATX,titanium,1550,Full,Black
Corsair RM550x (2018),0.0,ATX,gold,550,Full,Black / Silver
KOLINK ENCLAVE,0.0,ATX,gold,700,Full,Black
Asus TUF Gaming 650B,0.0,ATX,bronze,650,false,Black
EVGA SuperNOVA 750 GA,176.99,ATX,gold,750,Full,Black
Corsair TX650M Gold,0.0,ATX,gold,650,Semi,Unknown
Corsair AX1000,0.0,ATX,titanium,1000,Full,Black / Silver
Super Flower Leadex III Gold,125.99,ATX,gold,550,Full,Black
Deepcool PQ750M,0.0,ATX,gold,750,Full,Black
MSI MAG A1250GL PCIE5,199.0,ATX,gold,1250,Full,Black
FSP Group FSP400-60FGGBA,107.72,Flex ATX,gold,400,false,Unknown
Thermaltake Litepower,0.0,ATX,Unknown,650,false,Unknown
Apevia Prestige,74.98,ATX,gold,1000,false,Black
Super Flower Leadex III ARGB,169.99,ATX,gold,750,Full,White
SeaSonic G12 GM,126.0,ATX,gold,850,Semi,Black / Blue
FSP Group HV PRO,0.0,ATX,plus,650,false,Black
Enermax Revolution D.F. X,109.99,ATX,gold,850,Full,Black
Silverstone SFX,0.0,SFX,bronze,300,false,Unknown
Corsair CX430,0.0,ATX,bronze,430,false,Unknown
Montech CENTURY G5,124.9,ATX,gold,850,Full,Black
Apevia Spirit,0.0,ATX,Unknown,600,false,Unknown
Cooler Master MasterWatt,0.0,ATX,bronze,650,Semi,Unknown
SeaSonic PRIME TX,559.45,ATX,titanium,1300,Full,Black / Silver
Xilence XP600R6,46.37,ATX,Unknown,600,false,Black / Red
EVGA 550 B5,0.0,ATX,bronze,550,Full,Black
Corsair HX850i,396.0,ATX,platinum,850,Full,Unknown
FSP Group Hydro G PRO ATX3.0(PCIe5.0),0.0,ATX,gold,850,Full,Black
Asus ROG Strix,0.0,ATX,gold,650,Full,Black / Red
EVGA 500 BQ,149.99,ATX,bronze,500,Semi,Unknown
EVGA SuperNOVA 1000 T2,0.0,ATX,titanium,1000,Full,Unknown
EVGA SuperNOVA 1600 P+,429.99,ATX,platinum,1600,Full,Black
ADATA XPG PYLON,0.0,ATX,bronze,550,false,Black
FSP Group Hydro Pro,0.0,ATX,bronze,500,false,Black
Corsair RM1000e (2022),220.0,ATX,gold,1000,Full,Black
Corsair VS500 (2020),0.0,ATX,bronze,500,false,Black
Antec NE1000G M ATX3.0,185.29,ATX,gold,1000,Full,Black
SeaSonic B12 BC,0.0,ATX,bronze,850,false,Unknown
GameMax RGB,169.99,ATX,platinum,1300,Full,Black
Enermax REVOLUTION D.F. 2,106.99,ATX,gold,1050,Full,Black
Gigabyte P1000GM,0.0,ATX,gold,1000,Full,Black
FSP Group Dagger Pro,139.99,SFX,gold,650,Full,Black
Thermalright TG,0.0,ATX,gold,650,Full,Black
EVGA SuperNOVA 850 P2,0.0,ATX,platinum,850,Full,Unknown
Cooler Master MWE Bronze V2,120.34,ATX,bronze,700,false,Black
Corsair RM750e (2022),149.97,ATX,gold,750,Full,Black
EVGA SuperNOVA 1200 P2,499.99,ATX,platinum,1200,Full,Unknown
Fractal Design Ion+ 2 Platinum,0.0,ATX,platinum,760,Full,Black
GameMax GS,0.0,SFX,bronze,300,false,Silver
Antec NE1000G M White ATX 3.0,119.76,ATX,gold,1000,Full,White
Raidmax Cobra,0.0,ATX,bronze,700,false,Unknown
Corsair VS450,0.0,ATX,plus,450,false,Unknown
Silverstone SFX,150.38,SFX,platinum,700,Full,Unknown
EVGA SuperNOVA 850 P6,0.0,ATX,platinum,850,Full,Black / Silver
Silverstone SX700-PT,142.19,SFX,platinum,700,Full,Black
Corsair RM850x (2018),289.0,ATX,gold,850,Full,White / Black
Deepcool PM650D,85.6,ATX,gold,650,false,Black
Cooler Master MasterWatt 550,0.0,ATX,bronze,550,Semi,Unknown
SeaSonic M12II,0.0,ATX,bronze,620,Full,Unknown
Inter-Tech Argus APS,0.0,ATX,Unknown,720,false,Black / Orange
Deepcool PF750 230V,0.0,ATX,plus,750,false,Black
Thermalright TB750S,0.0,ATX,bronze,750,false,Black
Silverstone SX-G,139.99,SFX,gold,700,Full,Black
Corsair TX750M Gold,0.0,ATX,gold,750,Semi,Unknown
Silverstone SX1000R-PL,270.99,SFX,platinum,1000,Full,Black / White
EVGA GE,79.98,ATX,gold,600,false,Black
SeaSonic FOCUS SGX,0.0,SFX,gold,500,Full,Black
Raidmax RX-730SS,57.99,ATX,Unknown,730,Semi,Unknown
Cooler Master V750 SFX GOLD,180.0,SFX,gold,750,Full,White
Silverstone Essential,68.0,ATX,gold,550,false,Black / Yellow
EVGA SuperNOVA 1000 P5,236.14,ATX,platinum,1000,Full,Blue / Black
EVGA SuperNOVA 1300 G+,206.0,ATX,gold,1300,Full,Black
EVGA SuperNOVA 1000 G7,239.99,ATX,gold,1000,Full,Black / Blue
Corsair RM750,0.0,ATX,gold,750,Full,Unknown
EVGA SuperNOVA 550 G3,0.0,ATX,gold,550,Full,Unknown
Gigabyte AORUS P GM,120.91,ATX,gold,750,Full,Black / Silver
NZXT C650 (2022),0.0,ATX,gold,650,Full,Black
Gigabyte UD850GM PG5 (rev. 2.0),160.99,ATX,gold,850,Full,Black
KOLINK KL-500M,0.0,ATX,bronze,500,Semi,Black
EVGA 600 GQ,0.0,ATX,gold,600,Semi,Black
Cooler Master Elite V3,0.0,ATX,Unknown,500,false,Black
SeaSonic SSP-300SUG,95.0,Flex ATX,gold,300,false,Unknown
be quiet! System Power 9 700 CM,234.71,ATX,bronze,700,Semi,Black
Antec NeoECO Gold,185.88,ATX,gold,850,Full,Unknown
Corsair Vengeance 750M,94.99,ATX,silver,750,Semi,Unknown
SeaSonic VERTEX PX-850,189.99,ATX,platinum,850,Full,Black / Silver
Enermax Revolution D.F. X,284.99,ATX,gold,1650,Full,Black
Thermalright TG,0.0,ATX,gold,750,Full,White
Cooler Master V SFX Gold ATX 3.0,0.0,SFX,gold,750,Full,Black
EVGA SuperNOVA 750 G6,136.16,ATX,gold,750,Full,Black
Thermaltake Toughpower GF A3 - TT Premium Edition,128.47,ATX,gold,850,Full,Black
Fractal Design Ion+ 2 Platinum,0.0,ATX,platinum,660,Full,Black
Cooler Master V550 V2,0.0,ATX,gold,550,Full,White
EVGA 450 BV,0.0,ATX,bronze,450,false,Unknown
Super Flower LEADEX VII XG,190.62,ATX,gold,850,Full,Black
Corsair RM850e (2022),155.0,ATX,gold,850,Full,Black
Xilence XP500R6,68.53,ATX,Unknown,500,false,Black / Red
Corsair CX500,0.0,ATX,bronze,500,false,Unknown
Corsair CX750F,0.0,ATX,bronze,750,Full,White / Black
Super Flower Leadex Platinum,142.98,ATX,platinum,850,Full,Black
FSP Group HEXA 85+ PRO,0.0,ATX,bronze,450,false,Black
Cougar VTE,56.99,ATX,bronze,600,false,Black
GameMax GP,0.0,ATX,bronze,650,false,Black
MSI MAG A600DN,0.0,ATX,plus,600,false,Black
Silverstone TX500-G,137.99,TFX,gold,500,false,Black
KOLINK ENCLAVE,0.0,ATX,gold,600,Full,Black
Cooler Master MWE White V2 230V,0.0,ATX,plus,650,false,Black
Cooler Master XG850 Plus,146.59,ATX,platinum,850,Full,Black
Cooler Master V750 V2,0.0,ATX,gold,750,Full,White
Silverstone SX750-PT,0.0,SFX,platinum,750,Full,Black
Thermaltake Toughpower GF1 PE,106.51,ATX,gold,650,Full,Unknown
EVGA SuperNOVA 1000 G6,308.83,ATX,gold,1000,Full,Black
ADATA XPG KYBER,0.0,ATX,gold,750,false,Black
SeaSonic CORE GM,114.9,ATX,gold,650,Semi,Black
Deepcool PF350 230V,0.0,ATX,plus,350,false,Black
In Win IP-S200DF1-0,52.02,TFX,Unknown,200,false,Unknown
KOLINK Regulator,109.99,ATX,gold,750,Full,Black
Fractal Design Ion+ 2 Platinum,0.0,ATX,platinum,860,Full,Black
FSP Group HEXA 85+ PRO,0.0,ATX,bronze,550,false,Black
EVGA SuperNOVA 1300 P+,259.99,ATX,platinum,1300,Full,Black
SeaSonic PRIME 600 Titanium,0.0,ATX,titanium,600,Full,Black
ADATA XPG Core Reactor II,94.99,ATX,gold,750,Full,Black
Corsair CX550F,159.99,ATX,bronze,550,Full,Black
Corsair HX1000i (2022),299.99,ATX,platinum,1000,Full,Black
Corsair TX550M,0.0,ATX,gold,550,Semi,Black
be quiet! Straight Power 11 1000W,183.99,ATX,gold,1000,Full,Unknown
Razer Katana Chroma,389.99,ATX,platinum,1200,Full,Black
Cooler Master GX III GOLD,157.41,ATX,gold,850,Full,Black
Corsair AX760i,206.66,ATX,platinum,760,Full,Unknown
EVGA SuperNOVA 550 GS,0.0,ATX,gold,550,Full,Unknown
FSP Group Hydro Pro,0.0,ATX,bronze,800,false,Black
Super Flower Leadex III Gold,125.99,ATX,gold,650,Full,Black
GameMax RGB Rainbow,0.0,ATX,gold,1050,Full,Black
Silverstone Strider Titanium,359.99,ATX,titanium,1300,Full,Black / Blue
Corsair CX650F,0.0,ATX,bronze,650,Full,White / Black
Thermalright TG,0.0,ATX,gold,850,Full,White
Thermaltake Toughpower PF3,0.0,ATX,platinum,1050,Full,Black
Cooler Master MWE Bronze 650,0.0,ATX,bronze,650,false,Black
Silverstone Strider Platinum S,214.99,ATX,platinum,1000,Full,Black
EVGA SuperNOVA 1300 G2,0.0,ATX,gold,1300,Full,Unknown
Super Flower Leadex III ARGB,124.99,ATX,gold,650,Full,White
Cooler Master Elite 400 V3,0.0,ATX,plus,400,false,Black
Corsair SF450,0.0,SFX,gold,450,Full,Unknown
Super Flower Leadex VI Platinum PRO,149.99,ATX,platinum,1000,Full,Black / Blue
Asus ROG Strix Aura Edition,154.99,ATX,gold,750,Full,Black
Enermax MAXREVO SLI,149.94,ATX,gold,1350,Full,Black / Gold
ARESGAME AGK,0.0,ATX,gold,850,Full,Black / Red
Antec CSK,80.55,ATX,bronze,650,false,Black / Yellow
SHARKOON SilentStorm,139.68,SFX,gold,500,Full,Black
EVGA N1,54.99,ATX,Unknown,550,false,Unknown
SHARKOON SilentStorm Cool Zero 750,138.65,ATX,gold,750,Full,Black
EVGA SuperNOVA 650 G6,116.33,ATX,gold,650,Full,Black
EVGA SuperNOVA 750 P2,299.99,ATX,platinum,750,Full,Unknown
NZXT E850,109.99,ATX,gold,850,Full,Black
Cooler Master V550 SFX GOLD,0.0,SFX,gold,550,Full,Black
PowerSpec GFM,0.0,ATX,gold,750,Full,Black
PowerSpec PS 650BSM,0.0,ATX,bronze,650,Semi,Black
Thermaltake Toughpower PF3-L,209.99,ATX,platinum,1200,Full,Black
Antec NE1300G M ATX3.0,209.99,ATX,gold,1300,Full,Black
Cooler Master V850 Gold V2,202.25,ATX,gold,850,Full,Black
Cooler Master V850 V2,0.0,ATX,gold,850,Full,White
Phanteks AMP v2,0.0,ATX,gold,1000,Full,Black
Thermaltake Smart BX1 550,96.0,ATX,bronze,550,false,Black
Thermaltake Toughpower Grand RGB,0.0,ATX,gold,850,Full,Unknown
Silverstone HELA 850R,223.07,ATX,platinum,850,Full,Black / Silver
Phanteks Revolt SFX,0.0,SFX,gold,750,Full,Black
Aerocool AER-P7-P650W,0.0,ATX,platinum,650,Full,Unknown
Silverstone DA750R-GMA,0.0,ATX,gold,750,Full,White
Aerocool Integrator MOD XT,0.0,ATX,bronze,750,Semi,Black / Red
EVGA 600 B1,139.99,ATX,bronze,600,false,Unknown
Cooler Master MWE White V2 230V,0.0,ATX,plus,700,false,Black
Corsair HX750i,0.0,ATX,platinum,750,Full,Unknown
Enermax Revolution D.F. X,110.93,ATX,gold,1200,Full,Black
Thermaltake Toughpower Grand RGB,144.98,ATX,gold,750,Full,Unknown
Corsair RM1000,0.0,ATX,gold,1000,Full,Unknown
SeaSonic PRIME PX,519.0,ATX,platinum,1000,Full,Black / Silver
Cooler Master XG750 Plus,120.99,ATX,platinum,750,Full,Black
Enermax REVOLUTION D.F. 2,106.99,ATX,gold,850,Full,Black
Thermaltake Smart RGB,0.0,ATX,plus,700,false,Unknown
ADATA XPG Core Reactor II,87.99,ATX,gold,650,Full,Black
FSP Group HEXA 85+ PRO,0.0,ATX,bronze,650,false,Black
EVGA SuperNOVA 1000 G3,389.99,ATX,gold,1000,Full,Unknown
Thermaltake Toughpower PF3-L,169.99,ATX,platinum,1050,Full,Black
SHARKOON SilentStorm Cool Zero 650,124.76,ATX,gold,650,Full,Black
Corsair CX550M (2021),0.0,ATX,bronze,550,Semi,Black
SeaSonic PRIME,129.99,ATX,gold,850,Full,Black
EVGA SuperNOVA 650 G1,223.49,ATX,gold,650,Full,Unknown
Corsair CS650M,0.0,ATX,gold,650,Semi,Unknown
Phanteks Revolt X,0.0,ATX,platinum,1200,Full,Black / Silver
Cooler Master MWE White V2 230V,0.0,ATX,plus,750,false,Black / White
Corsair CX850M,0.0,ATX,bronze,850,Semi,Unknown
EVGA SuperNOVA 650 P2,339.99,ATX,platinum,650,Full,Unknown
Corsair TX850M Gold,0.0,ATX,gold,850,Semi,Unknown
Enhance ENP-7660,0.0,Flex ATX,platinum,600,false,Silver
EVGA SuperNOVA 1000 P6,408.2,ATX,platinum,1000,Full,Black / Silver
NZXT C750,0.0,ATX,bronze,750,Semi,Black
FSP Group Dagger Pro,179.99,SFX,gold,850,Full,Black / Gold
Cooler Master MWE Gold 750,0.0,ATX,gold,750,Full,Black
Super Flower Leadex V Pro,299.99,ATX,platinum,1000,Full,White
Cooler Master MasterWatt,110.0,ATX,bronze,750,Semi,Black
ENDORFY Vero L5,0.0,ATX,bronze,600,false,Black
Thermaltake Litepower,0.0,ATX,Unknown,550,false,Unknown
EVGA SuperNOVA NEX650G Gold,0.0,ATX,gold,650,Full,Unknown
Thermalright TB-750,0.0,ATX,bronze,750,Full,Black
Cougar GEX,109.99,ATX,gold,850,Full,Black
GameMax GM,0.0,ATX,bronze,800,Semi,Black
Corsair RM750x White,349.0,ATX,gold,750,Full,White / Black
Corsair TX650,255.0,ATX,plus,650,false,Unknown
Thermaltake Toughpower GF1 PE,123.95,ATX,gold,750,Full,Black
ENDORFY Supremo FM5,0.0,ATX,gold,750,Full,Black
EVGA GE,89.46,ATX,gold,700,false,Black
EVGA 450 BT,0.0,ATX,bronze,450,false,Unknown
EVGA 500 B1,0.0,ATX,bronze,500,false,Unknown
Cooler Master V750 Gold V2,0.0,ATX,gold,750,Full,Black
EVGA SuperNOVA 750 G7,134.99,ATX,gold,750,Full,Black / Blue
Gigabyte UD1300GM PG5,199.99,ATX,gold,1300,Full,Black
SeaSonic Prime Fanless PX-500,0.0,ATX,platinum,500,Full,Black
MSI MAG A500DN,0.0,ATX,plus,500,false,Black
be quiet! Straight Power 11,168.48,ATX,platinum,750,Full,Black
be quiet! Dark Power Pro 12,0.0,ATX,titanium,1500,Full,Black
Corsair AX860,0.0,ATX,platinum,860,Full,Unknown
EVGA SuperNOVA 1600 P2,0.0,ATX,platinum,1600,Full,Unknown
Thermaltake Toughpower GF A3 ATX 3.0,0.0,ATX,gold,1050,Full,Black
Corsair VS650,0.0,ATX,Unknown,650,false,Unknown
Corsair RM750i,0.0,ATX,gold,750,Full,Unknown
Cooler Master V850 Gold i,0.0,ATX,gold,850,Full,Black / Gold
iTek GF750 EVO,0.0,ATX,gold,750,Full,Black / Red
YEYIAN Raiden,0.0,ATX,plus,500,false,Black
SeaSonic B12 BC,0.0,ATX,bronze,550,false,Unknown
NOX Hummer,0.0,ATX,bronze,650,Semi,Unknown
Antec Signature,0.0,ATX,titanium,1000,Full,Black / Silver
Cooler Master V650,138.65,ATX,gold,650,Full,Unknown
EVGA SuperNOVA 750 G+,0.0,ATX,gold,750,Full,Black
Cooler Master G500,0.0,ATX,gold,500,false,Black
Fractal Design Ion+ 2 Platinum,190.42,ATX,platinum,560,Full,Black
CoolMax V-400,47.68,ATX,Unknown,400,false,Unknown
PowerSpec PSX 850GFM,0.0,ATX,gold,850,Full,Black
Thermaltake Smart RGB 230V,65.09,ATX,plus,600,false,Black
Gigabyte AORUS P GM,0.0,ATX,gold,850,Full,Black / Silver
BitFenix BFG GOLD ATX3.0,99.9,ATX,gold,850,Full,Black
SeaSonic PRIME,223.11,ATX,gold,1000,Full,Black
be quiet! SFX Power 3 300,149.47,SFX,bronze,300,false,Black
Apevia ATX-CB700W,0.0,ATX,Unknown,700,false,Unknown
Corsair VS600 (2020),0.0,ATX,bronze,600,false,Black
Corsair HX850,0.0,ATX,platinum,850,Full,Black
Mars Gaming MPII650,0.0,ATX,Unknown,650,false,Black / Red
Corsair TX750,0.0,ATX,plus,750,false,Unknown
Cougar VTX,0.0,ATX,bronze,500,false,Black
Silverstone TX700-G,169.99,TFX,gold,700,false,Black
SeaSonic CORE GM,0.0,ATX,gold,500,Semi,Black
Corsair RM650,222.19,ATX,gold,650,Full,Unknown
Super Flower LEADEX VII XG,219.99,ATX,gold,1000,Full,White
Thermaltake Toughpower GX1 RGB,0.0,ATX,gold,700,false,Black
Asus ROG Strix,0.0,ATX,gold,550,Full,Black / Red
be quiet! Dark Power 12,0.0,ATX,titanium,1000,Full,Black
Silverstone Essential,60.57,ATX,bronze,550,false,Black
MSI MPG A750G PCIE5,139.99,ATX,gold,750,Full,Black
Corsair RM550x (2021),0.0,ATX,gold,550,Full,Black
SeaSonic M12II EVO,0.0,ATX,bronze,520,Full,Black
GAMDIAS KRATOS E1,0.0,ATX,plus,600,false,Black
ENDORFY Vero L5,0.0,ATX,bronze,700,false,Black
Enermax CYBERBRON,0.0,ATX,bronze,500,false,Black / Silver
SeaSonic FOCUS Plus 550 Gold,0.0,ATX,gold,550,Full,Unknown
SeaSonic PRIME,109.99,ATX,gold,750,Full,Black
Silverstone VA550-B,0.0,ATX,bronze,550,false,Black
Antec NE850G M ATX3.0,152.15,ATX,gold,850,Full,Black
Xilence XP400R6,97.89,ATX,Unknown,400,false,Black / Red
Thermaltake Toughpower Grand RGB,116.99,ATX,gold,650,Full,Unknown
KOLINK Regulator,129.99,ATX,gold,850,Full,Black
Silverstone DA850R-GMA,0.0,ATX,gold,850,Full,Black
KOLINK Modular Power,0.0,ATX,bronze,600,Semi,Black
Cooler Master XG650 Plus,0.0,ATX,platinum,650,Full,Black
Corsair AX860i,0.0,ATX,platinum,860,Full,Unknown
Apex AL-8250SFX,77.71,SFX,Unknown,250,false,Unknown
Cooler Master V650 Gold V2,0.0,ATX,gold,650,Full,Black
Deepcool DQ750M-V3L,0.0,ATX,gold,750,Full,Black
Cooler Master V SFX Gold ATX 3.0,0.0,SFX,gold,750,Full,White
Apex SL-275TFX,45.95,TFX,Unknown,275,false,Unknown
be quiet! Straight Power 11 650W,0.0,ATX,gold,650,Full,Unknown
Cougar VTE X2,83.98,ATX,plus,750,false,Black
Antec Signature Platinum,177.52,ATX,platinum,1000,Full,Black
Silverstone Strider Platinum S,269.99,ATX,platinum,1200,Full,Black
Thermalright TB-650,0.0,ATX,bronze,650,Full,Black
Cooler Master MWE White V2 230V,0.0,ATX,bronze,550,false,Black / White
GameMax GX Pro Rampage,0.0,ATX,platinum,1250,Full,White
SeaSonic PRIME Ultra Titanium,395.0,ATX,titanium,850,Full,Unknown
EVGA SuperNOVA 450 GM,0.0,SFX,gold,450,Full,Black
FSP Group Hydro G Pro,0.0,ATX,gold,750,Full,Black
EVGA SuperNOVA 1000 G2,0.0,ATX,gold,1000,Full,Unknown
Thermaltake TR2,0.0,ATX,Unknown,430,false,Unknown
EVGA SuperNOVA 650 G7,94.99,ATX,gold,650,Full,Black / Blue
FSP Group HYPER K PRO,0.0,ATX,plus,700,false,Black / Yellow
Corsair HX750,0.0,ATX,platinum,750,Full,Black
Antec CSK,0.0,ATX,bronze,550,false,Black / Yellow
GAMDIAS KRATOS M1 B,0.0,ATX,bronze,550,false,Black
Silverstone DA1000R,0.0,ATX,gold,1000,Full,Black
Deepcool PX1300P,289.99,ATX,platinum,1300,Full,Black / Silver
Razer Katana Chroma,274.1,ATX,platinum,850,Full,Black
SeaSonic G,138.77,ATX,gold,450,Semi,Unknown
SeaSonic S12II,0.0,ATX,bronze,350,false,Unknown
SeaSonic VERTEX GX-750,109.99,ATX,gold,750,Full,Black / Silver
Fractal Design Ion+ 560P,0.0,ATX,platinum,560,Full,Black
SeaSonic FOCUS,0.0,ATX,gold,750,Semi,Black
FSP Group Hydro K Pro ATX3.0,0.0,ATX,bronze,750,false,Black
Corsair VS450,0.0,ATX,Unknown,450,false,Unknown
Thermaltake Toughpower PF1 - TT Premium Edition,0.0,ATX,platinum,650,Full,Unknown
Antec NE850G M,0.0,ATX,gold,850,Full,White
EVGA 430 W1,0.0,ATX,plus,430,false,Unknown
SeaSonic Platinum,0.0,ATX,platinum,400,Full,Unknown
Segotep GM,0.0,ATX,gold,850,Full,Black
Phanteks Revolt X,0.0,ATX,platinum,1000,Full,Black / Silver
Tacens Radix VII AG,0.0,ATX,silver,600,false,Black
Thermaltake Smart Pro RGB,0.0,ATX,bronze,850,Full,Unknown
Fractal Design Ion SFX 500G,0.0,SFX,gold,500,Full,Black
Segotep GP700G,0.0,ATX,gold,700,false,Black
