name,price,type,efficiency,wattage,modular,color
NZXT C1200,183.1,ATX,gold,1200,Full,Black
Asus ROG STRIX 1000G,172.99,ATX,gold,1000,Full,Black
Aerocool Integrator,0.0,ATX,bronze,500,false,Black
Deepcool PK650D,0.0,ATX,bronze,650,false,Black
SeaSonic PRIME TX-1000,449.99,ATX,titanium,1000,Full,Black
NZXT C1000 (2022),149.97,ATX,gold,1000,Full,Black
Asus TUF Gaming 1000G,149.99,ATX,gold,1000,Full,Black
Corsair AX1200,699.0,ATX,gold,1200,Full,Unknown
Corsair HX1200 Platinum,415.0,ATX,platinum,1200,Full,Unknown
Super Flower Leadex Platinum SE,144.99,ATX,platinum,1000,Full,White
SeaSonic FOCUS Plus 750 Gold,74.99,ATX,gold,750,Full,Unknown
Asus TUF Gaming 850G,139.99,ATX,gold,850,Full,Black
Apevia Prestige,66.98,ATX,gold,800,false,Black
Asus Prime AP-750G,109.99,ATX,gold,750,Full,White / Black
ADATA XPG CORE Reactor 750,89.99,ATX,gold,750,Full,Black
Super Flower Leadex III Gold,99.99,ATX,gold,750,Full,Black
EVGA 600 GD,74.98,ATX,gold,600,false,Black
Apevia Galaxy,69.98,ATX,gold,850,Semi,Black
Cooler Master V850 SFX GOLD,0.0,SFX,gold,850,Full,White
MSI MAG A750BN PCIE5,84.0,ATX,bronze,750,false,Black
Logisys PS480D,16.98,ATX,Unknown,480,false,Unknown
EVGA SuperNOVA 850 P5,119.99,ATX,platinum,850,Full,Black / Teal
Thermaltake Toughpower GF A3 Snow,0.0,ATX,gold,1050,Full,White
Thermaltake Smart BM3,79.98,ATX,bronze,850,Semi,Black
EVGA 700 GD,84.99,ATX,gold,700,false,Black
Gigabyte UD1000GM,129.99,ATX,gold,1000,Full,Black
Corsair RM750 (2019),210.09,ATX,gold,750,Full,Black
Lian Li SP750,139.99,SFX,gold,750,Full,White
Corsair RM1200x SHIFT,205.99,ATX,gold,1200,Full / Side,Black
Corsair RM1000x,244.99,ATX,gold,1000,Full,Unknown
Lian Li SP850,146.94,SFX,gold,850,Full,White
SeaSonic FOCUS GX,129.99,ATX,gold,1000,Full,Black
Corsair RM1000x SHIFT,188.14,ATX,gold,1000,Full / Side,White
Thermaltake Toughpower GF3 TT Premium,289.99,ATX,gold,1650,Full,Black
Gigabyte UD1000GM PG5 (rev. 2.0),114.99,ATX,gold,1000,Full,Black
Asus ROG THOR P2 Gaming,199.99,ATX,platinum,850,Full,Black / Silver
EVGA 400 N1,69.09,ATX,Unknown,400,false,Unknown
SeaSonic FOCUS GX,94.99,ATX,gold,850,Full,Black
Corsair RM850x SHIFT,144.99,ATX,gold,850,Full / Side,Black
ADATA XPG Core Reactor II,104.99,ATX,gold,850,Full,White
be quiet! Straight Power 12,159.9,ATX,platinum,850,Full,Black
SeaSonic FOCUS Plus Gold,129.99,ATX,gold,1000,Full,Black
be quiet! Dark Power Pro 13,369.9,ATX,titanium,1300,Full,Black
SeaSonic FOCUS Gold,69.99,ATX,gold,550,Semi,Unknown
Deepcool PM850D,84.99,ATX,gold,850,false,Black
SeaSonic FOCUS Plus Platinum,134.99,ATX,platinum,850,Full,Unknown
Asus ROG THOR P2 Gaming,329.99,ATX,platinum,1000,Full,Silver / Black
Corsair RM1000x SHIFT,186.99,ATX,gold,1000,Full / Side,Black
SeaSonic VERTEX GX-1200,192.31,ATX,gold,1200,Full,Black / Silver
Thermaltake Toughpower GF3 TT Premium,102.0,ATX,gold,850,Full,Black
Apevia Premier,59.99,ATX,gold,650,Semi,Black
Cooler Master V SFX Platinum,215.53,SFX,platinum,1100,Full,Black
be quiet! System Power 10,0.0,ATX,bronze,450,false,Black
G.Skill MB750G,82.99,ATX,gold,750,Full,Black
ADATA XPG CORE Reactor 650,84.94,ATX,gold,650,Full,Black
EVGA SuperNOVA 750 P5,169.99,ATX,platinum,750,Full,Black / Teal
Corsair RM750x SHIFT,89.99,ATX,gold,750,Full / Side,Black
EVGA SuperNOVA 1000G XC,124.99,ATX,gold,1000,Full,Black
EVGA 700 BR,71.98,ATX,bronze,700,false,Unknown
Super Flower Leadex,0.0,ATX,platinum,2000,Full,Unknown
Asus ROG LOKI,0.0,SFX,platinum,1000,Full,Silver / Black
Cooler Master MWE Bronze V2,719.3,ATX,bronze,650,false,Black
CoolMax I-500,26.68,ATX,Unknown,500,false,Unknown
EVGA 850 B5,99.99,ATX,bronze,850,Full,Black
Deepcool PQ850M,0.0,ATX,gold,850,Full,Black
Lian Li SP850,141.87,SFX,gold,850,Full,Black
Thermaltake Smart BM3,89.99,ATX,bronze,750,Semi,Black
Athena Power AP-MTFX30,36.99,TFX,Unknown,300,false,Unknown
be quiet! Pure Power 12 M,146.9,ATX,gold,1200,Full,Black
Deepcool PQ1000M,129.99,ATX,gold,1000,Full,Black
EVGA SuperNOVA 850 GM,154.99,SFX,gold,850,Full,Black
Thermaltake Smart BX1,74.98,ATX,bronze,750,false,Black
be quiet! System Power 10,0.0,ATX,bronze,650,false,Black
GameMax GX Pro Rampage,85.99,ATX,gold,850,Full,Black
be quiet! SFX L Power,130.53,SFX,gold,600,Full,Unknown
Deepcool PX850G,114.99,ATX,gold,850,Full,Black
SeaSonic S12III,64.81,ATX,bronze,500,false,Black
SeaSonic PRIME TX-1600 ATX 3.0,519.82,ATX,titanium,1600,Full,Black / Silver
